Structure,percent_cu,percent_ni,percent_au,percent_pd,percent_pt,Cohesive_energy,c11,c12,c13,c23,c22,c33,c44,c55,c66,G_V,G_R,G,B,E_100,E_110,E_111,E_113,E_331,E_VRH,nu,avg_r,1 r,2 r,3 r,4 r,5 r,6 r,7 r,8 r,9 r,10 r,11 r,12 r,13 r,14 r,15 r,16 r,17 r,18 r,19 r,20 r,21 r,22 r,23 r,24 r,25 r,26 r,27 r,28 r,29 r,30 r,31 r,32 r,33 r,34 r,35 r,36 r,37 r,38 r,39 r,40 r,41 r,42 r,43 r,44 r,45 r,46 r,47 r,48 r,49 r,50 r,51 r,52 r,53 r,54 r,55 r,56 r,57 r,58 r,59 r,60 r,61 r,62 r,63 r,64 r,65 r,66 r,67 r,68 r,69 r,70 r,71 r,72 r,73 r,74 r,75 r,76 r,77 r,78 r,79 r,80 r,81 r,82 r,83 r,84 r,85 r,86 r,87 r,88 r,89 r,90 r,91 r,92 r,93 r,94 r,95 r,96 r,1 Type 1,2 Type 1,3 Type 1,4 Type 1,5 Type 1,6 Type 1,7 Type 1,8 Type 1,9 Type 1,10 Type 1,11 Type 1,12 Type 1,13 Type 1,14 Type 1,15 Type 1,16 Type 1,17 Type 1,18 Type 1,19 Type 1,20 Type 1,21 Type 1,22 Type 1,23 Type 1,24 Type 1,25 Type 1,26 Type 1,27 Type 1,28 Type 1,29 Type 1,30 Type 1,31 Type 1,32 Type 1,33 Type 1,34 Type 1,35 Type 1,36 Type 1,37 Type 1,38 Type 1,39 Type 1,40 Type 1,41 Type 1,42 Type 1,43 Type 1,44 Type 1,45 Type 1,46 Type 1,47 Type 1,48 Type 1,49 Type 1,50 Type 1,51 Type 1,52 Type 1,53 Type 1,54 Type 1,55 Type 1,56 Type 1,57 Type 1,58 Type 1,59 Type 1,60 Type 1,61 Type 1,62 Type 1,63 Type 1,64 Type 1,65 Type 1,66 Type 1,67 Type 1,68 Type 1,69 Type 1,70 Type 1,71 Type 1,72 Type 1,73 Type 1,74 Type 1,75 Type 1,76 Type 1,77 Type 1,78 Type 1,79 Type 1,80 Type 1,81 Type 1,82 Type 1,83 Type 1,84 Type 1,85 Type 1,86 Type 1,87 Type 1,88 Type 1,89 Type 1,90 Type 1,91 Type 1,92 Type 1,93 Type 1,94 Type 1,95 Type 1,96 Type 1,1 Type 2,2 Type 2,3 Type 2,4 Type 2,5 Type 2,6 Type 2,7 Type 2,8 Type 2,9 Type 2,10 Type 2,11 Type 2,12 Type 2,13 Type 2,14 Type 2,15 Type 2,16 Type 2,17 Type 2,18 Type 2,19 Type 2,20 Type 2,21 Type 2,22 Type 2,23 Type 2,24 Type 2,25 Type 2,26 Type 2,27 Type 2,28 Type 2,29 Type 2,30 Type 2,31 Type 2,32 Type 2,33 Type 2,34 Type 2,35 Type 2,36 Type 2,37 Type 2,38 Type 2,39 Type 2,40 Type 2,41 Type 2,42 Type 2,43 Type 2,44 Type 2,45 Type 2,46 Type 2,47 Type 2,48 Type 2,49 Type 2,50 Type 2,51 Type 2,52 Type 2,53 Type 2,54 Type 2,55 Type 2,56 Type 2,57 Type 2,58 Type 2,59 Type 2,60 Type 2,61 Type 2,62 Type 2,63 Type 2,64 Type 2,65 Type 2,66 Type 2,67 Type 2,68 Type 2,69 Type 2,70 Type 2,71 Type 2,72 Type 2,73 Type 2,74 Type 2,75 Type 2,76 Type 2,77 Type 2,78 Type 2,79 Type 2,80 Type 2,81 Type 2,82 Type 2,83 Type 2,84 Type 2,85 Type 2,86 Type 2,87 Type 2,88 Type 2,89 Type 2,90 Type 2,91 Type 2,92 Type 2,93 Type 2,94 Type 2,95 Type 2,96 Type 2
1,12.5,12.5,12.5,0,62.5,-4.904820343,255.98491,180.25614,177.70691,183.3418,257.08977,257.68785,76.07435,81.43315,79.39358,62.67739467,55.31002002,58.99370734,205.9302478,107.8808893,169.765365,209.9010356,139.9161912,179.7630261,161.5540943,0.369248531,2.708600128,2.723033913,2.90233274,2.755664514,2.795545333,2.74711038,2.74711038,2.773786771,2.773786771,2.767646982,2.767646982,2.783800129,2.783800129,2.663767721,2.743107449,2.775858106,2.84562595,2.723693654,2.723693654,2.813500465,2.813500465,2.728574233,2.728574233,2.8067945,2.8067945,2.787352419,2.87384302,2.691708566,2.691708566,2.755454056,2.755454056,2.74366009,2.74366009,2.71578799,2.71578799,2.856845659,2.678968786,2.833371357,2.833371357,2.870178356,2.870178356,2.691342976,2.691342976,2.762191272,2.762191272,2.734655841,2.767773575,2.761806961,2.761806961,2.830872452,2.830872452,2.808701267,2.808701267,2.755942678,2.755942678,2.732237914,2.714657238,2.838082139,2.838082139,2.703212806,2.703212806,2.725637837,2.725637837,2.699055591,2.699055591,2.818474013,2.818474013,2.851795015,2.851795015,2.729917264,2.729917264,2.761282177,2.761282177,2.736772402,2.758082682,2.721785655,2.74321236,2.766675415,2.787757118,2.777061518,2.79806497,2.717028042,2.702245979,2.803678642,2.814486509,2.816986428,2.796707448,2.766184934,2.787793806,2.754930779,2.824901439,2.595324385,2.816122786,2.906009257,2.756063627,2.786513166,2.708600128,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,2,2,4,4,1,2,4,4,4,4,4,4,4,4,0,0,1,2,4,4,4,4,4,4,0,0,4,4,4,1,4,4,4,4,0,0,2,2,4,1,4,4,4,4,0,0,4,4,4,4,4,4,2,2,4,4,0,0,4,4,0,0,2,2,4,4,4,4,4,4,2,2,0,0,4,4,4,4,4,4,0,0,4,4,4,0,0,4,4,0,0,4,2,4,2,4,0,4,0,4
2,12.5,12.5,62.5,0,12.5,-3.619575665,187.95609,130.87004,139.62787,152.60293,176.31529,173.8135,31.23392,58.0836,41.81091,33.89128867,24.66334121,29.27731494,153.8096178,44.80345422,81.84587413,112.9831165,62.598248,88.97822023,82.59157151,0.410504544,3.032798864,2.826067531,2.778548783,2.839715569,2.798295359,2.818209506,2.818209506,2.740355324,2.740355324,2.806108969,2.806108969,2.84198041,2.84198041,2.853729166,2.839843104,2.930074944,2.853104491,2.885509572,2.885509572,2.802811824,2.802811824,2.776863081,2.776863081,2.816998647,2.816998647,2.935288886,2.896880903,2.840400795,2.840400795,2.859088435,2.859088435,2.932371326,2.932371326,2.880955274,2.880955274,2.857357721,2.867088384,2.826468521,2.826468521,2.715877263,2.715877263,2.740951849,2.740951849,2.805097395,2.805097395,2.799219115,2.817054045,2.885921195,2.885921195,2.728898935,2.728898935,2.734196286,2.734196286,2.800016213,2.800016213,2.97139527,2.904413511,2.854074474,2.854074474,2.901264722,2.901264722,2.884196577,2.884196577,2.891649864,2.891649864,2.740164547,2.76162453,2.852512417,2.873133375,2.744687358,2.766112252,2.817497707,2.83837306,2.830721988,2.830721988,2.871016446,2.871016446,2.79633694,2.79633694,2.863774307,2.863774307,2.928724256,3.009716151,2.757192483,2.781653064,2.745408057,2.738921263,2.844795768,2.892853341,2.847973465,2.717066732,3.094749678,2.844608654,2.782314038,2.939736724,2.817050655,3.032798864,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,1,4,2,0,0,0,0,2,2,4,4,2,1,4,2,0,0,0,0,2,2,2,2,1,2,0,0,2,2,2,2,2,2,1,2,0,0,2,2,2,2,2,2,4,2,2,2,2,2,2,2,4,4,4,2,2,2,2,2,2,2,2,2,0,0,2,2,4,4,2,2,0,0,2,2,4,4,2,2,2,2,4,2,2,2,4,2,2,2,2,2,4,2,4,2
3,62.5,12.5,12.5,0,12.5,-3.892523498,203.0021,146.96006,132.64678,141.20491,186.02552,207.52202,79.41018,77.63316,69.73531,57.07158933,44.33835819,50.70497376,159.7970156,77.79074674,141.7753961,195.3297854,108.56554,154.0611506,137.5647591,0.356521351,2.594866751,2.570774099,2.482552057,2.643410386,2.606606452,2.631926226,2.631926226,2.549844283,2.549844283,2.633619126,2.633619126,2.726487905,2.726487905,2.736043072,2.627505899,2.791738598,2.677192471,2.723610357,2.723610357,2.647631568,2.647631568,2.747001804,2.747001804,2.775932458,2.755231825,2.507496655,2.684298952,2.682755813,2.682755813,2.584552005,2.584552005,2.698427734,2.698427734,2.649197167,2.649197167,2.47166297,2.655367561,2.666026131,2.666026131,2.57256426,2.57256426,2.699987565,2.699987565,2.653275384,2.653275384,2.592594273,2.572692185,2.629720881,2.629720881,2.584393669,2.584393669,2.531457175,2.531457175,2.744917163,2.744917163,2.714804299,2.626176271,2.609095677,2.609095677,2.743125566,2.743125566,2.697858285,2.697858285,2.604648578,2.626536277,2.729219066,2.729219066,2.671902046,2.671902046,2.612890603,2.612890603,2.810302624,2.789857028,2.730752794,2.730752794,2.68236905,2.68236905,2.519488288,2.519488288,2.616208767,2.638000552,2.560224122,2.716775494,2.661130552,2.825165117,2.535817963,2.732255863,2.525293194,2.698127353,2.537273031,2.510158705,2.617690571,2.606517922,2.622885491,2.719558677,2.508473285,2.594866751,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,2,4,4,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,2,2,0,0,2,0,0,0,1,1,0,0,0,0,2,0,2,2,1,1,0,0,4,4,0,0,1,1,0,0,4,4,0,0,0,0,0,0,4,4,0,2,0,4,0,2,0,4,1,0,1,0,0,4,0,4
4,12.5,62.5,12.5,0,12.5,-4.530839711,232.11819,155.46947,159.0151,157.91142,235.33726,230.11166,82.03919,93.59555,94.28501,68.995358,57.54175152,63.26855476,182.4843433,105.1394354,177.7955038,231.0077431,141.4442967,190.5629981,170.1424816,0.344605407,2.611529245,2.648092121,2.550110722,2.525198492,2.500419583,2.555713482,2.555713482,2.557935183,2.557935183,2.729142823,2.729142823,2.573808349,2.573808349,2.823244223,2.797473313,2.611941887,2.542869215,2.687182725,2.687182725,2.646833979,2.646833979,2.666221585,2.666221585,2.470996519,2.470996519,2.51290159,2.775955785,2.679755236,2.679755236,2.4603459,2.4603459,2.666265982,2.666265982,2.611663848,2.611663848,2.613354509,2.850109892,2.681440263,2.681440263,2.576884498,2.576884498,2.753082192,2.753082192,2.703094196,2.703094196,2.488022699,2.570460088,2.598089171,2.598089171,2.52269779,2.52269779,2.585053907,2.585053907,2.532450224,2.532450224,2.527194561,2.589359835,2.737435283,2.757503133,2.649245149,2.669975929,2.672245634,2.692799348,2.540457109,2.56206829,2.579617407,2.579617407,2.556983856,2.556983856,2.582740685,2.582740685,2.688342681,2.688342681,2.508499325,2.508499325,2.540614344,2.540614344,2.554251037,2.554251037,2.623573097,2.623573097,2.582098668,2.671495338,2.567492054,2.617271986,2.793393348,2.743337132,2.492448948,2.511168253,2.480649737,2.649101697,2.701842904,2.825550596,2.505206577,2.72919321,2.440164299,2.611529245,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,1,1,1,1,1,1,2,2,1,1,1,1,1,2,0,0,4,4,1,1,1,1,1,1,1,2,0,0,4,4,1,1,2,2,1,1,1,4,4,4,1,1,2,2,1,1,1,4,1,1,1,1,2,2,1,1,0,0,1,1,1,1,1,1,1,1,0,0,2,2,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1
5,25,25,25,0,25,-4.222200184,210.10455,157.75855,157.02916,160.17688,210.55265,209.82095,62.56824,74.0245,64.25913,50.53794467,40.87720151,45.70757309,175.6008144,74.01853609,131.4648528,177.3442286,102.0186966,142.1619491,126.175231,0.380244262,2.849975086,2.539459558,2.722297485,2.706271029,2.850402129,2.675360634,2.675360634,2.790865743,2.790865743,2.601846892,2.601846892,2.683509162,2.683509162,2.609510189,2.760999849,2.580290176,2.726383436,2.649092181,2.649092181,2.741639833,2.741639833,2.643128265,2.643128265,2.638222839,2.638222839,2.767664125,2.765835188,2.568089233,2.568089233,2.672806918,2.672806918,2.67805225,2.67805225,2.698797294,2.698797294,2.697777425,2.715518944,2.688341629,2.688341629,2.749955887,2.749955887,2.754199903,2.754199903,2.773195871,2.773195871,2.88008845,2.816336904,2.738017103,2.738017103,2.718236676,2.718236676,2.719346989,2.719346989,2.847337751,2.847337751,2.781819424,2.765062042,2.749574478,2.749574478,2.707985594,2.707985594,2.713367999,2.713367999,2.837287639,2.837287639,2.727957247,2.727957247,2.874573519,2.874573519,2.656422559,2.656422559,2.580739636,2.580739636,2.695699087,2.716849493,2.682618763,2.703871489,2.838941135,2.859032068,2.766281728,2.786896517,2.579441276,2.527032236,2.639546449,2.614334966,2.7123753,2.669592209,2.78165489,2.739329644,2.66173579,2.881095852,2.670406068,2.873834527,2.819673071,2.823285402,2.881674446,2.849975086,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,0,0,0,0,4,4,4,4,1,1,0,0,4,4,1,1,0,2,1,4,0,0,4,4,1,1,2,2,0,2,1,4,0,0,4,4,0,0,4,4,2,2,0,0,1,1,0,0,4,4,2,2,4,4,1,1,0,0,1,1,1,4,1,1,4,4,1,1,2,2,1,4,0,0,4,4,1,1,4,4,0,0,4,4,2,2,4,4,4,4,1,1,2,2,4,4,1,0,2,4,1,0,2,4,4,1,4,1,2,4,2,4
6,18.75,18.75,18.75,0,43.75,-4.58052541,225.71824,162.2994,171.20864,170.34597,244.26846,240.2649,65.14537,77.5397,74.85325,57.26750333,49.77939767,53.5234505,190.8844022,96.24883429,153.7908691,192.0662521,125.8168067,163.2535274,146.8453441,0.371785103,2.699113294,2.723510029,2.861280853,2.756543362,2.872875391,2.698154911,2.698154911,2.77631545,2.77631545,2.721135539,2.721135539,2.789086685,2.789086685,2.723000148,2.853722977,2.812888758,2.957909625,2.729954999,2.729954999,2.821749661,2.821749661,2.824989554,2.824989554,2.875699762,2.875699762,2.597963751,2.62648206,2.715384593,2.715384593,2.713872042,2.713872042,2.665685704,2.665685704,2.646210544,2.646210544,2.711327562,2.680157512,2.830467908,2.830467908,2.819158343,2.819158343,2.831625725,2.831625725,2.642253526,2.642253526,2.641507978,2.691089054,2.661381639,2.661381639,2.626643599,2.626643599,2.742087278,2.742087278,2.735678151,2.735678151,2.679165476,2.796563316,2.597158724,2.597158724,2.762130436,2.762130436,2.899848817,2.899848817,2.621454579,2.621454579,2.835670422,2.835670422,2.713608008,2.713608008,2.697600613,2.697600613,2.790207299,2.790207299,2.808939307,2.829519347,2.613531662,2.635637958,2.717716728,2.738982277,2.802481153,2.823108271,2.653977792,2.739376952,2.795196761,2.943671049,2.810156376,2.97777763,2.767238895,2.893986976,2.573405786,2.684428081,2.568752329,2.827894383,2.65958488,2.737033942,2.665691237,2.699113294,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,0,0,4,4,1,1,1,1,1,2,4,4,4,4,2,2,0,0,0,0,1,2,4,4,4,4,2,2,4,4,2,2,4,0,4,4,0,0,4,4,1,1,4,0,2,2,0,0,4,4,1,1,4,4,0,0,1,1,1,1,0,0,4,4,4,4,1,1,1,1,2,2,4,4,1,1,0,0,2,2,2,2,1,1,0,0,2,2,0,4,0,2,0,4,0,2,1,1,1,1,0,2,0,2
7,18.75,18.75,43.75,0,18.75,-3.91423005,203.37113,144.22086,150.30368,153.65635,198.04075,189.49349,45.53231,64.4527,61.5455,43.82106733,35.37268775,39.59687754,165.2519056,65.45856347,113.627066,150.5567567,89.21247707,122.356467,110.0043894,0.389053837,2.837615389,2.964935343,2.951365456,2.761073359,2.78728946,2.807816468,2.807816468,2.830079829,2.830079829,2.837764964,2.837764964,2.782340168,2.782340168,2.701969961,2.695260778,2.883573294,2.848731466,2.705148341,2.705148341,2.660679615,2.660679615,2.800324844,2.800324844,2.803305909,2.803305909,2.973943489,2.675466651,2.812355082,2.812355082,2.905598504,2.905598504,2.651789242,2.651789242,2.792755663,2.792755663,2.926342338,2.672827629,2.712981853,2.712981853,2.82398912,2.82398912,2.624257163,2.624257163,2.701603543,2.701603543,2.71036752,2.750171877,2.774351058,2.774351058,2.777927098,2.777927098,2.80228737,2.80228737,2.701389374,2.701389374,2.887927496,2.787387559,2.71713515,2.71713515,2.741953974,2.741953974,2.679113414,2.679113414,2.774823118,2.774823118,2.759304816,2.759304816,2.740308472,2.740308472,2.68184483,2.68184483,2.769230963,2.769230963,2.86209707,2.882120216,2.804684459,2.825114549,2.752196205,2.773013028,2.772481842,2.793147483,2.963152721,2.845254156,2.841923639,2.726259125,2.821031788,2.680898769,3.023585393,2.84224706,2.842963057,2.747612938,2.801652074,2.626072567,2.765874464,2.711623401,2.901128001,2.837615389,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,0,1,4,2,2,2,2,2,2,4,4,2,0,1,4,2,2,2,2,1,1,2,2,0,1,2,2,2,2,1,1,2,2,0,1,2,2,2,2,1,1,2,2,1,4,2,2,2,2,2,2,4,4,1,4,1,1,2,2,2,2,2,2,2,2,2,2,4,4,2,2,2,2,2,2,4,4,2,2,2,1,4,2,2,1,4,2,2,2,2,2,4,2,4,2
8,43.75,18.75,18.75,0,18.75,-4.084475999,194.67425,151.68989,152.41871,143.56998,204.18061,196.29303,65.18252,69.47797,73.08988,51.38136133,39.36737628,45.37436881,165.6116722,68.47790923,128.6630793,181.975893,96.96784933,140.6479468,124.7317506,0.374473672,2.698369682,2.580100331,2.752335563,2.631112927,2.749805321,2.662141998,2.662141998,2.789123602,2.789123602,2.691869868,2.691869868,2.694657646,2.694657646,2.764397136,2.720893818,2.540451856,2.614428056,2.66317184,2.66317184,2.692731101,2.692731101,2.683876225,2.683876225,2.571291208,2.571291208,2.768164946,2.847161247,2.715398677,2.715398677,2.755500008,2.755500008,2.691253409,2.691253409,2.713156638,2.713156638,2.584901,2.699164181,2.688027461,2.688027461,2.643574933,2.643574933,2.71598035,2.71598035,2.705314003,2.705314003,2.881438557,2.619373147,2.62885593,2.62885593,2.767342698,2.767342698,2.596164313,2.596164313,2.677558818,2.677558818,2.685244212,2.548715237,2.789638671,2.809982245,2.810795873,2.830987414,2.617440712,2.639112006,2.62271213,2.644340223,2.590946277,2.590946277,2.664047468,2.664047468,2.781832539,2.781832539,2.669141713,2.669141713,2.618299251,2.618299251,2.667110741,2.667110741,2.662043608,2.662043608,2.692673486,2.692673486,2.864308472,2.616838888,2.722059091,2.582193053,2.683975396,2.68939961,2.638235042,2.590275145,2.725220001,2.615505463,2.798153868,2.775972907,2.634562019,2.727482924,2.611536726,2.698369682,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,1,1,2,2,2,2,1,1,0,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,4,4,2,2,0,0,4,4,0,0,1,1,2,2,2,2,4,4,4,4,1,1,2,2,1,1,0,0,1,1,2,2,1,1,0,0,0,0,2,2,2,2,1,1,0,0,0,0,2,2,0,0,0,0,4,4,1,1,0,0,0,0,1,2,0,0,1,2,0,0,2,1,2,1,0,0,0,0
9,18.75,43.75,18.75,0,18.75,-4.387361784,219.85255,151.59259,152.82605,156.35907,229.49139,222.0041,74.78637,87.23844,81.40326,62.723636,53.06140014,57.89251807,176.9892733,98.55259074,163.9038437,210.4128248,131.479508,175.1653065,156.6028248,0.352530776,2.871058656,2.734296984,2.716389135,2.483569921,2.542972803,2.645623188,2.645623188,2.701192812,2.701192812,2.658156741,2.658156741,2.509374552,2.509374552,2.666692859,2.693472739,2.580045126,2.703467551,2.62224982,2.62224982,2.70533785,2.70533785,2.632543191,2.632543191,2.528753422,2.528753422,2.72316677,2.769616979,2.685812291,2.685812291,2.635399067,2.635399067,2.617208128,2.617208128,2.752100422,2.731692375,2.910316165,2.815526155,2.641208616,2.641208616,2.728148172,2.728148172,2.696420244,2.696420244,2.77952735,2.77952735,2.549504207,2.639037732,2.801330005,2.801330005,2.544922634,2.566816065,2.633594752,2.633594752,2.642698822,2.642698822,2.712109109,2.686521299,2.806050415,2.806050415,2.741782061,2.721296634,2.757588912,2.757588912,2.645784579,2.645784579,2.554459816,2.554459816,2.616125545,2.637427983,2.564395747,2.564395747,2.648587598,2.648587598,2.555303332,2.555303332,2.637889238,2.637889238,2.670422884,2.670422884,2.795785777,2.795785777,2.613358651,2.614703415,2.509073924,2.497087544,2.735700032,2.706371765,2.620094619,2.611145736,2.737128887,2.747167504,2.842919588,2.936435774,2.564278499,2.662853336,2.669418721,2.871058656,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,2,2,4,4,4,4,2,2,1,1,1,0,0,0,4,4,2,2,1,1,1,1,1,0,0,0,4,4,4,4,1,1,1,2,0,0,2,2,4,4,4,4,1,2,4,4,2,2,4,4,2,2,1,0,2,2,4,4,2,2,1,1,1,0,4,4,4,4,2,2,1,1,0,0,4,4,1,1,1,1,4,4,2,2,1,1,1,1,2,4,1,1,2,4,1,1,4,2,4,2,1,1,1,1
10,6.25,6.25,6.25,0,81.25,-5.227456232,286.55357,202.22904,199.03004,199.03004,286.55357,283.59512,73.93607,72.37079,72.37079,60.82973933,56.83637654,58.83305793,228.5867222,120.6562321,170.4545124,197.6458834,147.7723294,177.5596026,162.5533229,0.381479466,2.814087303,2.78253573,2.740774496,2.831258019,2.791766535,2.773982162,2.773982162,2.732940247,2.732940247,2.803920873,2.803920873,2.852897811,2.852897811,2.854881184,2.79094693,2.901022642,2.854880682,2.845187846,2.845187846,2.797937841,2.797937841,2.797937841,2.797937841,2.845187844,2.845187844,2.716752382,2.79176625,2.814640351,2.814640351,2.781457509,2.781457509,2.849039347,2.849039347,2.743738146,2.743738146,2.677370535,2.740772882,2.786354046,2.786354046,2.733149528,2.733149528,2.786353335,2.786353335,2.733148837,2.733148837,2.7744631,2.716751861,2.718705783,2.718705783,2.775047655,2.775047655,2.718705783,2.718705783,2.775047655,2.775047655,2.831259241,2.782535017,2.732940247,2.732940247,2.852898537,2.852898537,2.803920162,2.803920162,2.773982162,2.773982162,2.818450662,2.839362382,2.751641696,2.77305727,2.751641696,2.77305727,2.818451382,2.839363096,2.849039347,2.849039347,2.781457509,2.781457509,2.743738144,2.743738144,2.814639637,2.814639637,2.81408802,2.873696492,2.810012534,2.867916407,2.738363445,2.800144268,2.811612772,2.873696297,2.724151651,2.645758305,2.811613792,2.73836292,2.722301711,2.810012762,2.724152169,2.814087303,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
