Cu,Ni,Au,Pd,Pt,E<sub>Coh</sub> [eV/atom],C<sub>11</sub> [GPa],C<sub>22</sub> [GPa],C<sub>33</sub> [GPa],C<sub>12</sub> [GPa],C<sub>13</sub> [GPa],C<sub>23</sub> [GPa],C<sub>44</sub> [GPa],C<sub>55</sub> [GPa],C<sub>66</sub> [GPa],G<sub>V</sub> [GPa],G<sub>R</sub> [GPa],G [GPa],B [GPa],E<sub>VRH</sub> [GPa],Poisson's ratio []
6.25,93.75,0,0,0,4.79,261.16,261.16,261.82,157.85,157.59,157.59,124.69,124.08,124.08,95.31,79.73,87.52,192.24,227.96,0.30
6.25,93.75,0,0,0,4.79,261.13,261.13,261.81,157.82,157.58,157.58,124.69,124.08,124.08,95.31,79.73,87.52,192.23,227.96,0.30
12.5,87.5,0,0,0,4.70,252.86,250.85,252.91,155.98,154.36,156.02,120.58,120.59,120.31,91.65,75.47,83.56,187.70,218.28,0.31
12.5,87.5,0,0,0,4.70,253.25,250.64,255.22,157.56,153.84,155.62,121.71,120.57,118.51,91.63,75.66,83.65,188.13,218.55,0.31
12.5,87.5,0,0,0,4.70,251.88,251.88,251.31,155.21,157.21,157.21,117.81,119.39,119.39,90.35,74.31,82.33,188.26,215.56,0.31
18.75,81.25,0,0,0,4.60,244.95,245.87,246.57,153.62,154.47,153.81,117.71,117.02,118.93,89.10,72.45,80.78,184.58,211.48,0.31
18.75,81.25,0,0,0,4.60,245.82,244.92,246.56,153.58,153.78,154.46,117.71,118.93,117.03,89.10,72.45,80.78,184.55,211.47,0.31
18.75,81.25,0,0,0,4.60,245.05,245.05,244.59,152.43,152.45,152.45,116.30,117.70,117.70,88.83,72.62,80.72,183.26,211.16,0.31
18.75,81.25,0,0,0,4.60,246.04,242.32,246.15,154.57,152.62,155.42,115.28,116.61,114.25,87.35,71.24,79.30,184.42,208.07,0.31
18.75,81.25,0,0,0,4.60,246.04,242.31,246.19,154.57,152.64,155.44,115.28,116.62,114.24,87.35,71.24,79.30,184.42,208.07,0.31
25,75,0,0,0,4.51,239.57,237.93,240.77,151.73,151.32,152.73,111.83,114.54,112.74,85.32,69.18,77.25,181.09,202.91,0.31
25,75,0,0,0,4.51,240.46,234.43,240.43,152.06,148.24,153.66,111.48,113.78,111.13,84.70,68.65,76.68,180.36,201.48,0.31
25,75,0,0,0,4.52,238.14,239.94,241.32,151.47,151.54,150.22,112.95,113.28,113.85,85.76,69.86,77.81,180.65,204.13,0.31
25,75,0,0,0,4.51,237.89,239.56,240.74,151.71,152.71,151.30,111.83,112.72,114.55,85.32,69.18,77.25,181.07,202.90,0.31
25,75,0,0,0,4.51,238.63,238.63,238.35,150.81,151.68,151.68,111.95,115.71,115.71,86.10,69.33,77.72,180.44,203.88,0.31
25,75,0,0,0,4.51,236.98,238.59,238.83,152.16,152.78,151.34,112.18,113.71,113.36,85.06,68.46,76.76,180.77,201.73,0.31
25,75,0,0,0,4.51,238.57,237.01,238.83,152.17,151.33,152.80,112.18,113.38,113.71,85.06,68.46,76.76,180.78,201.73,0.31
25,75,0,0,0,4.52,240.13,236.68,242.82,152.82,148.35,151.34,113.05,113.14,111.41,85.33,69.74,77.54,180.52,203.47,0.31
31.25,68.75,0,0,0,4.42,233.15,233.15,233.08,149.40,150.50,150.50,108.52,112.67,112.67,83.37,66.52,74.95,177.80,197.14,0.32
31.25,68.75,0,0,0,4.42,232.81,233.14,235.61,149.74,149.26,149.37,109.22,110.43,110.48,82.91,66.97,74.94,177.59,197.09,0.32
31.25,68.75,0,0,0,4.42,231.16,232.08,234.63,150.66,149.13,147.95,110.30,109.92,109.39,82.60,66.38,74.49,177.04,195.97,0.32
31.25,68.75,0,0,0,4.43,236.58,232.65,237.22,148.27,145.84,148.24,107.90,107.90,107.75,82.32,68.21,75.26,176.79,197.73,0.31
31.25,68.75,0,0,0,4.42,234.83,231.92,236.38,149.06,147.54,150.27,108.71,112.28,109.86,83.25,67.49,75.37,177.43,198.08,0.31
31.25,68.75,0,0,0,4.42,233.84,232.09,231.23,147.99,150.99,152.99,108.01,109.90,109.53,81.83,65.34,73.59,177.90,194.01,0.32
31.25,68.75,0,0,0,4.42,230.99,229.23,231.39,149.47,149.77,151.43,109.23,110.03,110.03,81.92,64.80,73.36,177.00,193.37,0.32
31.25,68.75,0,0,0,4.42,233.05,231.11,233.59,150.49,148.63,150.47,110.50,109.97,108.79,82.39,66.03,74.21,177.44,195.40,0.32
31.25,68.75,0,0,0,4.43,234.17,231.87,234.39,148.93,148.16,150.46,108.21,110.04,109.42,82.39,66.71,74.55,177.28,196.16,0.32
31.25,68.75,0,0,0,4.42,231.90,234.83,236.38,149.05,150.26,147.54,108.73,109.84,112.29,83.26,67.50,75.38,177.42,198.08,0.31
37.5,62.5,0,0,0,4.33,227.64,224.43,226.42,146.10,147.04,150.12,104.37,109.11,107.63,79.91,63.18,71.54,173.89,188.75,0.32
37.5,62.5,0,0,0,4.33,226.15,227.36,226.38,145.46,148.68,148.01,104.13,106.48,108.50,79.67,63.51,71.59,173.80,188.84,0.32
37.5,62.5,0,0,0,4.33,225.03,227.47,229.26,149.26,148.00,144.99,106.51,106.85,108.89,80.42,63.98,72.20,174.03,190.29,0.32
37.5,62.5,0,0,0,4.33,228.55,226.85,229.16,147.58,146.70,149.74,106.35,106.82,106.67,80.00,64.05,72.03,174.73,189.97,0.32
37.5,62.5,0,0,0,4.33,227.86,227.76,229.65,148.50,146.88,147.57,108.72,109.25,109.23,81.59,64.90,73.25,174.57,192.78,0.32
37.5,62.5,0,0,0,4.34,225.68,226.76,231.33,147.47,146.45,145.36,106.77,107.98,108.81,81.01,64.97,72.99,173.59,192.05,0.32
37.5,62.5,0,0,0,4.33,227.13,227.03,225.71,146.48,148.83,150.39,106.50,108.05,107.61,80.04,63.10,71.57,174.59,188.90,0.32
37.5,62.5,0,0,0,4.34,226.64,229.60,232.26,147.26,147.35,143.80,106.36,106.41,108.30,80.89,65.69,73.29,173.92,192.78,0.32
37.5,62.5,0,0,0,4.33,227.37,229.53,228.59,146.93,150.19,146.14,107.06,108.02,108.81,80.93,64.60,72.76,174.67,191.67,0.32
37.5,62.5,0,0,0,4.34,231.73,228.38,232.54,145.92,142.72,146.40,105.38,107.31,105.88,80.89,66.74,73.82,173.64,193.96,0.31
37.5,62.5,0,0,0,4.34,227.66,229.65,230.39,146.96,148.12,145.83,106.27,106.20,107.90,80.53,65.15,72.84,174.39,191.81,0.32
37.5,62.5,0,0,0,4.34,227.87,227.87,232.56,147.97,146.40,146.40,107.36,107.84,107.84,81.11,65.45,73.28,174.43,192.84,0.32
43.75,56.25,0,0,0,4.24,221.53,219.71,218.56,144.15,146.86,147.91,102.43,104.52,103.92,76.90,59.97,68.43,170.85,181.12,0.32
43.75,56.25,0,0,0,4.25,221.38,222.68,222.69,142.57,147.62,145.55,102.08,105.15,106.71,78.19,61.96,70.07,170.91,184.94,0.32
43.75,56.25,0,0,0,4.26,224.80,222.29,226.27,142.98,141.91,144.19,102.59,103.89,103.57,78.30,63.95,71.12,170.17,187.27,0.32
43.75,56.25,0,0,0,4.25,221.67,220.61,225.03,146.45,142.70,144.40,103.83,104.26,103.72,77.95,62.27,70.11,170.49,184.96,0.32
43.75,56.25,0,0,0,4.24,223.77,223.77,224.37,144.81,145.90,145.90,103.27,104.47,104.47,78.13,62.63,70.38,171.68,185.75,0.32
43.75,56.25,0,0,0,4.25,224.67,223.83,224.43,143.01,144.80,145.67,103.14,105.29,104.64,78.58,63.38,70.98,171.10,187.07,0.32
43.75,56.25,0,0,0,4.25,221.74,221.74,222.72,143.10,146.76,146.76,103.43,105.63,105.63,78.24,61.79,70.02,171.05,184.83,0.32
43.75,56.25,0,0,0,4.25,220.78,221.87,223.24,146.42,144.16,142.21,104.10,101.93,103.49,77.44,62.00,69.72,170.16,184.03,0.32
43.75,56.25,0,0,0,4.24,219.88,219.35,218.93,145.28,146.66,145.76,103.31,102.54,104.10,76.69,59.89,68.29,170.40,180.73,0.32
43.75,56.25,0,0,0,4.25,223.08,221.67,223.66,143.34,144.25,146.75,102.31,106.01,105.54,78.38,62.51,70.44,170.79,185.79,0.32
43.75,56.25,0,0,0,4.25,224.13,221.44,226.24,144.76,141.84,143.95,103.21,104.26,101.71,77.92,63.35,70.64,170.32,186.17,0.32
