Cu,Ni,Au,Pd,Pt,E<sub>Coh</sub> [eV/atom],C<sub>11</sub> [GPa],C<sub>22</sub> [GPa],C<sub>33</sub> [GPa],C<sub>12</sub> [GPa],C<sub>13</sub> [GPa],C<sub>23</sub> [GPa],C<sub>44</sub> [GPa],C<sub>55</sub> [GPa],C<sub>66</sub> [GPa],G<sub>V</sub> [GPa],G<sub>R</sub> [GPa],G [GPa],B [GPa],E<sub>VRH</sub> [GPa],Poisson's ratio []
0,0,0,6.25,93.75,5.44,313.37,313.37,313.83,211.19,210.43,210.43,63.16,62.57,62.57,58.23,57.67,57.95,244.96,161.14,0.39
0,0,0,93.75,6.25,3.87,203.64,203.64,210.54,151.11,152.06,152.06,62.16,61.30,61.30,47.79,40.78,44.29,169.81,122.23,0.38
0,0,0,87.5,12.5,3.99,215.96,213.17,217.84,160.02,156.43,157.88,63.39,61.86,62.54,49.07,42.48,45.78,177.29,126.44,0.38
0,0,0,87.5,12.5,3.99,216.10,216.10,215.16,158.59,158.25,158.25,63.90,62.09,62.09,49.10,42.55,45.82,177.50,126.58,0.38
0,0,0,81.25,18.75,4.10,222.42,219.18,224.37,165.43,161.00,162.75,65.74,62.98,63.09,50.15,43.42,46.79,182.70,129.32,0.38
0,0,0,81.25,18.75,4.10,219.16,222.42,224.36,165.43,162.75,161.00,65.75,63.09,62.96,50.14,43.42,46.78,182.70,129.31,0.38
0,0,0,81.25,18.75,4.10,220.27,222.69,223.58,164.31,161.63,161.31,64.51,62.58,61.64,49.70,43.56,46.63,182.34,128.90,0.38
0,0,0,81.25,18.75,4.10,222.69,220.28,223.58,164.31,161.31,161.63,64.50,61.64,62.58,49.70,43.56,46.63,182.34,128.90,0.38
0,0,0,81.25,18.75,4.10,218.27,219.96,222.55,164.99,162.49,162.62,63.83,63.81,62.11,49.33,42.40,45.87,182.33,126.95,0.38
0,0,0,75,25,4.22,229.52,226.21,227.70,168.74,166.34,167.57,66.40,62.19,62.37,50.24,44.00,47.12,187.64,130.45,0.38
0,0,0,75,25,4.22,222.87,226.20,229.53,169.43,166.60,165.31,64.04,62.57,62.56,49.65,43.24,46.44,186.81,128.67,0.39
0,0,0,75,25,4.22,227.59,226.70,230.00,170.07,166.84,165.52,64.45,60.83,63.06,49.79,43.85,46.82,187.68,129.67,0.38
0,0,0,75,25,4.22,222.56,229.17,226.89,168.33,168.13,166.00,64.12,62.54,62.12,49.50,43.09,46.30,187.06,128.30,0.39
0,0,0,75,25,4.22,226.49,222.15,227.45,169.43,167.88,168.59,64.95,63.76,65.34,50.16,42.72,46.44,187.55,128.70,0.39
0,0,0,75,25,4.22,227.65,229.50,223.50,166.96,168.85,167.79,67.36,62.78,63.59,50.55,43.69,47.12,187.54,130.43,0.38
0,0,0,75,25,4.22,224.25,221.83,217.05,169.25,165.34,164.28,66.28,63.38,61.67,49.22,41.60,45.41,184.54,125.90,0.39
0,0,0,75,25,4.22,226.70,227.59,230.00,170.07,165.52,166.84,64.45,63.06,60.83,49.79,43.85,46.82,187.69,129.68,0.38
0,0,0,68.75,31.25,4.33,231.21,231.45,226.12,173.31,172.81,173.57,68.06,63.78,63.01,50.24,42.63,46.44,192.02,128.92,0.39
0,0,0,68.75,31.25,4.33,231.30,224.91,229.06,173.56,173.36,171.95,65.74,62.35,62.62,49.23,41.88,45.56,191.44,126.63,0.39
0,0,0,68.75,31.25,4.33,234.21,234.21,234.80,173.81,170.53,170.53,65.93,60.74,60.74,50.04,44.68,47.36,192.55,131.31,0.39
0,0,0,68.75,31.25,4.33,222.94,228.28,222.26,172.35,167.04,170.18,64.87,62.08,60.29,48.38,41.19,44.78,188.07,124.47,0.39
0,0,0,68.75,31.25,4.33,231.05,229.55,233.90,173.08,169.72,171.65,63.63,61.37,60.64,49.13,43.35,46.24,191.49,128.39,0.39
0,0,0,68.75,31.25,4.33,234.32,227.66,235.94,174.48,171.26,172.27,66.98,64.00,65.96,51.38,44.34,47.86,192.66,132.60,0.39
0,0,0,68.75,31.25,4.33,228.78,231.34,233.44,173.49,172.75,171.02,63.67,62.33,62.15,49.38,43.08,46.23,192.01,128.39,0.39
0,0,0,68.75,31.25,4.33,230.51,230.51,234.44,175.55,172.20,172.20,65.61,62.54,62.54,49.84,43.16,46.50,192.82,129.12,0.39
0,0,0,68.75,31.25,4.33,233.35,229.30,233.77,173.79,170.34,171.40,63.61,60.82,60.59,49.06,43.40,46.23,191.94,128.39,0.39
0,0,0,68.75,31.25,4.33,233.51,232.83,229.61,172.53,173.68,172.75,66.33,60.79,62.53,49.73,43.34,46.53,192.65,129.20,0.39
0,0,0,62.5,37.5,4.44,234.33,232.24,229.87,177.25,175.09,174.58,66.31,62.10,62.32,49.45,42.36,45.90,194.47,127.67,0.39
0,0,0,62.5,37.5,4.45,234.73,232.56,232.49,177.44,177.79,180.65,66.96,64.40,65.13,50.23,41.94,46.08,196.84,128.24,0.39
0,0,0,62.5,37.5,4.44,226.61,237.95,236.99,176.92,172.99,176.77,63.26,60.97,58.88,48.28,42.35,45.32,194.99,126.17,0.39
0,0,0,62.5,37.5,4.44,232.91,234.54,240.02,180.05,176.72,175.59,64.94,64.33,63.04,50.14,43.17,46.66,196.91,129.72,0.39
0,0,0,62.5,37.5,4.44,237.16,236.22,238.56,179.78,175.57,176.22,67.92,62.31,61.10,50.29,43.91,47.10,197.23,130.88,0.39
0,0,0,62.5,37.5,4.44,240.34,240.34,239.55,176.43,175.39,175.39,67.52,60.88,60.88,50.73,45.52,48.12,197.18,133.51,0.39
0,0,0,62.5,37.5,4.44,235.57,230.95,231.72,177.29,176.86,176.51,65.97,62.55,62.61,49.40,42.10,45.75,195.51,127.32,0.39
0,0,0,62.5,37.5,4.45,237.87,238.94,233.21,176.64,179.69,177.84,67.90,62.23,62.99,50.35,43.42,46.89,197.59,130.35,0.39
0,0,0,62.5,37.5,4.44,236.24,237.64,237.62,178.23,177.53,176.10,67.69,61.42,62.76,50.35,43.92,47.13,197.25,130.97,0.39
0,0,0,62.5,37.5,4.44,231.82,238.57,241.05,180.38,175.72,175.42,65.13,64.11,62.57,50.36,43.78,47.07,197.16,130.79,0.39
0,0,0,62.5,37.5,4.44,235.55,235.03,236.27,177.98,178.22,176.63,65.23,61.71,62.43,49.48,42.91,46.19,196.95,128.53,0.39
0,0,0,62.5,37.5,4.44,235.05,236.73,236.46,179.72,176.74,176.97,65.11,61.69,60.29,49.07,42.77,45.92,197.24,127.84,0.39
0,0,0,56.25,43.75,4.56,240.89,238.84,242.16,180.62,179.55,176.86,64.52,59.18,61.67,49.40,44.00,46.70,199.55,129.95,0.39
0,0,0,56.25,43.75,4.55,240.84,241.51,246.98,182.96,178.86,178.87,63.91,61.91,62.72,50.28,44.76,47.52,201.19,132.16,0.39
0,0,0,56.25,43.75,4.56,239.85,248.56,249.01,184.08,181.14,177.92,66.01,66.57,63.13,52.09,46.13,49.11,202.63,136.32,0.39
0,0,0,56.25,43.75,4.55,231.12,247.01,247.65,179.88,178.76,175.78,61.79,61.17,60.92,49.53,44.39,46.96,199.40,130.63,0.39
0,0,0,56.25,43.75,4.56,245.63,247.86,248.30,183.47,180.74,176.25,64.21,58.10,61.08,50.10,45.83,47.96,202.52,133.36,0.39
0,0,0,56.25,43.75,4.55,241.40,235.27,241.70,179.26,179.52,178.08,63.82,61.07,61.54,49.39,43.68,46.53,199.12,129.51,0.39
0,0,0,56.25,43.75,4.56,242.80,241.89,241.74,181.76,180.85,182.35,66.67,61.88,63.64,50.54,44.24,47.39,201.81,131.84,0.39
0,0,0,56.25,43.75,4.56,245.43,245.43,248.64,184.17,177.75,177.75,63.70,59.54,59.54,49.88,45.56,47.72,202.10,132.72,0.39
0,0,0,56.25,43.75,4.56,244.21,247.73,248.64,185.16,179.78,177.09,66.41,61.47,60.72,50.96,45.98,48.47,202.74,134.68,0.39
0,0,0,56.25,43.75,4.56,244.20,245.63,247.79,184.70,181.70,176.67,64.55,59.28,62.99,50.33,45.29,47.81,202.64,132.98,0.39
0,0,0,56.25,43.75,4.56,246.56,246.73,243.28,182.25,180.51,182.23,65.15,61.27,59.69,49.99,45.01,47.50,202.95,132.20,0.39
0,0,0,56.25,43.75,4.55,237.92,240.00,240.07,178.60,177.90,175.87,68.27,66.49,67.39,52.80,45.76,49.28,198.08,136.52,0.39
0,0,0,56.25,43.75,4.56,243.51,247.17,239.84,181.40,184.82,181.66,69.70,64.36,64.48,51.88,44.88,48.38,202.92,134.46,0.39
0,0,0,56.25,43.75,4.56,243.94,242.99,247.57,186.47,180.13,179.06,66.69,60.73,63.92,50.86,44.95,47.91,202.87,133.23,0.39
0,0,0,50,50,4.67,245.60,251.31,253.15,183.45,180.24,180.76,61.18,59.68,58.65,49.61,46.00,47.80,204.33,133.04,0.39
0,0,0,50,50,4.67,248.91,253.68,255.15,186.65,182.66,181.64,65.49,63.57,61.75,51.95,47.39,49.67,206.63,137.96,0.39
0,0,0,50,50,4.67,252.79,252.00,254.51,185.90,181.30,181.53,63.31,59.91,59.29,50.54,46.95,48.74,206.31,135.56,0.39
0,0,0,50,50,4.67,247.36,253.70,256.65,184.89,181.16,179.30,60.77,61.26,60.11,50.58,47.03,48.80,205.38,135.67,0.39
0,0,0,50,50,4.67,257.50,254.10,256.01,184.94,179.85,182.27,65.90,59.32,59.74,51.70,48.40,50.05,206.86,138.94,0.39
0,0,0,50,50,4.67,247.72,254.08,257.03,185.15,181.42,179.55,60.87,61.35,60.21,50.67,47.10,48.88,205.67,135.89,0.39
0,0,0,50,50,4.67,259.41,250.89,259.24,186.01,178.78,182.65,63.77,60.51,62.91,52.25,48.74,50.49,207.16,140.10,0.39
0,0,0,50,50,4.67,251.38,254.38,257.03,186.58,180.46,181.26,61.15,61.50,58.11,50.45,47.14,48.79,206.60,135.70,0.39
0,0,0,50,50,4.67,252.91,254.46,254.62,185.56,181.40,181.21,63.58,60.16,58.57,50.72,47.32,49.02,206.48,136.28,0.39
0,0,0,50,50,4.67,259.36,256.98,258.76,184.78,181.17,179.24,61.34,56.23,59.36,50.71,48.44,49.57,207.27,137.74,0.39
0,0,0,50,50,4.67,256.09,256.05,258.39,185.20,179.38,179.31,62.70,58.04,58.11,50.88,48.29,49.58,206.48,137.73,0.39
0,0,0,50,50,4.67,254.51,250.58,255.19,186.63,180.82,185.10,64.40,62.78,61.77,51.64,47.30,49.47,207.26,137.47,0.39
0,0,0,50,50,4.67,252.17,256.49,249.58,181.91,184.28,183.62,64.70,61.41,59.39,50.99,47.04,49.02,206.43,136.27,0.39
0,0,0,50,50,4.67,254.43,254.61,257.55,186.86,179.66,181.29,63.60,60.54,59.14,51.24,47.94,49.59,206.91,137.76,0.39
0,0,0,50,50,4.67,247.65,257.42,254.66,183.05,183.92,179.69,61.26,61.31,59.33,50.58,47.10,48.84,205.90,135.79,0.39
0,0,0,50,50,4.67,253.79,248.96,250.40,184.94,182.35,186.18,66.91,62.22,63.91,51.92,46.76,49.34,206.68,137.10,0.39
0,0,0,43.75,56.25,4.78,265.73,263.51,266.74,187.17,182.02,184.07,63.36,58.96,58.23,52.29,50.26,51.28,211.39,142.32,0.39
0,0,0,43.75,56.25,4.78,265.51,263.29,257.63,184.97,188.32,188.16,67.23,61.91,62.82,53.39,49.76,51.58,212.15,143.13,0.39
0,0,0,43.75,56.25,4.78,262.37,262.73,265.02,187.40,183.63,183.42,60.87,58.23,58.26,51.18,49.12,50.15,211.00,139.41,0.39
0,0,0,43.75,56.25,4.78,257.45,262.96,265.58,186.73,184.32,183.46,61.36,62.71,60.21,52.29,49.58,50.93,210.56,141.40,0.39
0,0,0,43.75,56.25,4.78,264.14,265.91,266.13,187.05,186.25,182.22,61.83,56.81,59.60,51.69,49.74,50.72,211.91,140.91,0.39
0,0,0,43.75,56.25,4.78,262.26,261.07,265.15,187.30,183.09,183.09,60.30,57.46,58.89,51.00,48.94,49.97,210.61,138.92,0.39
0,0,0,43.75,56.25,4.78,263.04,266.27,266.19,188.75,186.96,182.85,62.80,60.46,61.06,52.66,50.17,51.42,212.51,142.74,0.39
0,0,0,43.75,56.25,4.78,267.24,266.38,266.97,187.69,185.63,182.07,62.35,56.72,60.03,52.17,50.33,51.25,212.37,142.30,0.39
0,0,0,43.75,56.25,4.78,266.48,259.16,266.68,187.07,183.19,185.29,62.09,60.41,62.20,52.73,50.21,51.47,211.49,142.81,0.39
0,0,0,43.75,56.25,4.78,257.87,266.25,266.30,186.63,184.64,183.26,61.64,63.18,59.78,52.65,50.09,51.37,211.06,142.54,0.39
0,0,0,43.75,56.25,4.78,263.13,263.13,264.75,186.85,184.29,184.29,61.16,58.55,58.55,51.36,49.27,50.31,211.32,139.84,0.39
0,0,0,43.75,56.25,4.78,265.82,257.46,265.89,186.34,182.99,184.35,61.49,59.63,63.03,52.53,49.98,51.26,210.72,142.24,0.39
0,0,0,43.75,56.25,4.78,262.69,259.86,260.73,187.40,185.73,188.72,63.34,61.37,61.74,52.05,48.76,50.41,211.89,140.11,0.39
0,0,0,43.75,56.25,4.78,264.88,257.65,262.26,187.60,185.68,190.07,67.58,64.20,66.17,54.35,50.05,52.20,212.39,144.75,0.39
0,0,0,37.5,62.5,4.89,270.74,272.61,272.89,192.66,191.52,190.76,63.73,62.72,63.60,54.10,51.49,52.79,218.46,146.57,0.39
0,0,0,37.5,62.5,4.89,268.91,271.75,272.87,192.04,190.03,190.25,64.82,63.89,62.78,54.38,51.66,53.02,217.57,147.11,0.39
0,0,0,37.5,62.5,4.89,276.08,273.17,276.38,192.65,189.06,188.73,64.19,59.50,62.98,54.35,52.44,53.39,218.50,148.11,0.39
0,0,0,37.5,62.5,4.89,270.54,274.59,273.89,191.16,190.40,188.59,64.11,61.10,60.56,53.74,51.68,52.71,217.70,146.33,0.39
0,0,0,37.5,62.5,4.89,274.59,270.55,273.89,191.16,188.59,190.40,64.11,60.55,61.11,53.75,51.68,52.71,217.71,146.33,0.39
0,0,0,37.5,62.5,4.90,267.65,272.86,268.40,193.08,195.54,193.24,69.69,68.38,66.30,56.01,51.55,53.78,219.18,149.14,0.39
0,0,0,37.5,62.5,4.89,276.16,276.16,273.63,190.75,191.28,191.28,63.12,60.82,60.82,53.79,51.95,52.87,219.18,146.82,0.39
0,0,0,37.5,62.5,4.89,267.68,270.75,273.19,193.73,192.49,189.29,65.93,65.84,64.99,55.09,51.70,53.40,218.07,148.10,0.39
0,0,0,37.5,62.5,4.90,268.87,273.98,276.53,195.49,191.05,188.56,67.69,65.82,64.55,55.90,52.70,54.30,218.84,150.45,0.39
0,0,0,37.5,62.5,4.89,276.04,275.57,274.63,191.23,190.93,188.95,65.18,59.81,61.82,54.37,52.48,53.42,218.72,148.20,0.39
0,0,0,37.5,62.5,4.89,274.82,270.65,275.53,191.78,187.12,189.62,63.64,61.01,61.77,54.12,52.12,53.12,217.56,147.35,0.39
0,0,0,37.5,62.5,4.89,272.57,272.57,273.89,193.33,189.96,189.96,67.99,62.83,62.83,55.11,52.40,53.76,218.39,149.04,0.39
0,0,0,31.25,68.75,5.01,279.66,279.66,283.26,199.79,194.92,194.92,67.78,66.47,66.47,57.01,54.10,55.56,224.65,153.97,0.39
0,0,0,31.25,68.75,5.00,276.74,281.08,279.45,195.80,197.24,195.10,67.82,66.40,65.88,56.63,53.65,55.14,223.73,152.86,0.39
0,0,0,31.25,68.75,5.00,278.88,283.69,283.59,196.63,195.72,192.62,66.70,65.08,64.61,56.69,54.42,55.56,224.01,153.95,0.39
0,0,0,31.25,68.75,5.00,283.74,282.14,283.78,195.82,193.44,193.11,65.24,61.07,62.83,55.65,54.03,54.84,223.82,152.10,0.39
0,0,0,31.25,68.75,5.00,277.55,278.59,283.09,197.23,195.24,193.38,64.70,65.01,65.16,55.87,53.39,54.63,223.44,151.54,0.39
0,0,0,31.25,68.75,5.01,273.94,278.23,278.53,198.74,198.43,197.02,70.02,70.92,69.19,57.79,53.40,55.60,224.34,154.07,0.39
0,0,0,31.25,68.75,5.00,284.44,284.44,284.43,195.84,193.40,193.40,65.74,62.09,62.09,56.03,54.48,55.25,224.29,153.19,0.39
0,0,0,31.25,68.75,5.00,281.84,281.84,283.77,195.69,192.89,192.89,64.44,62.12,62.12,55.47,53.84,54.66,223.38,151.60,0.39
0,0,0,31.25,68.75,5.00,274.55,283.61,284.17,194.83,194.03,193.10,64.51,68.01,64.02,56.67,54.34,55.50,222.92,153.75,0.39
0,0,0,31.25,68.75,5.00,280.83,279.10,278.93,196.45,194.96,198.03,68.38,66.45,65.50,56.69,53.71,55.20,224.19,153.05,0.39
0,0,0,25,75,5.12,285.31,288.93,289.85,202.88,201.47,198.19,69.46,67.96,68.09,58.54,55.69,57.11,229.91,158.24,0.39
0,0,0,25,75,5.11,284.72,288.81,291.52,200.93,198.22,197.67,64.30,64.82,64.23,56.55,54.72,55.64,228.74,154.39,0.39
0,0,0,25,75,5.11,287.86,289.87,291.12,199.63,197.28,197.21,62.07,62.06,60.23,55.19,54.03,54.61,228.57,151.75,0.39
0,0,0,25,75,5.11,293.08,289.78,290.54,199.40,197.22,199.24,67.28,63.29,64.39,57.49,55.89,56.69,229.46,157.14,0.39
0,0,0,25,75,5.11,291.47,293.77,292.41,198.98,197.62,197.41,63.57,62.30,60.73,56.23,55.21,55.72,229.52,154.64,0.39
0,0,0,25,75,5.11,292.40,285.11,289.65,199.13,197.75,200.05,65.61,63.04,65.32,56.81,55.01,55.91,229.00,155.11,0.39
0,0,0,25,75,5.11,289.71,284.40,289.41,199.25,197.54,199.82,64.80,64.05,64.28,56.42,54.58,55.50,228.53,154.03,0.39
0,0,0,25,75,5.11,287.83,288.34,289.00,200.21,199.25,198.79,65.16,63.36,64.27,56.35,54.55,55.45,229.07,153.94,0.39
0,0,0,18.75,81.25,5.22,299.06,296.69,295.22,202.46,203.13,205.42,67.44,65.74,64.34,58.17,56.51,57.34,234.78,159.06,0.39
0,0,0,18.75,81.25,5.22,300.53,300.53,299.89,202.76,201.99,201.99,64.81,63.18,63.18,57.85,56.90,57.37,234.94,159.16,0.39
0,0,0,18.75,81.25,5.22,294.17,296.48,298.78,205.83,203.47,202.33,65.92,66.65,64.46,57.93,56.22,57.07,234.74,158.38,0.39
0,0,0,18.75,81.25,5.22,296.64,299.46,298.78,203.48,202.40,201.75,64.07,63.48,62.06,57.07,56.01,56.54,234.46,157.00,0.39
0,0,0,18.75,81.25,5.22,296.63,299.46,298.78,203.48,202.40,201.75,64.07,63.48,62.06,57.07,56.01,56.54,234.46,157.00,0.39
0,0,0,12.5,87.5,5.33,306.80,306.80,305.41,206.41,206.61,206.61,64.83,62.99,62.99,58.12,57.30,57.71,239.81,160.27,0.39
0,0,0,12.5,87.5,5.33,306.80,306.80,305.41,206.41,206.61,206.61,64.83,62.99,62.99,58.12,57.30,57.71,239.81,160.27,0.39
