Cu,Ni,Au,Pd,Pt,E<sub>Coh</sub> [eV/atom],C<sub>11</sub> [GPa],C<sub>22</sub> [GPa],C<sub>33</sub> [GPa],C<sub>12</sub> [GPa],C<sub>13</sub> [GPa],C<sub>23</sub> [GPa],C<sub>44</sub> [GPa],C<sub>55</sub> [GPa],C<sub>66</sub> [GPa],G<sub>V</sub> [GPa],G<sub>R</sub> [GPa],G [GPa],B [GPa],E<sub>VRH</sub> [GPa],Poisson's ratio []
0,93.75,6.25,0,0,4.75,258.81,260.33,260.93,151.46,156.75,153.87,107.18,115.30,116.31,88.96,77.68,83.32,189.36,217.98,0.31
0,87.5,12.5,0,0,4.61,245.89,244.38,245.27,145.17,154.56,153.74,90.14,103.18,103.51,78.17,68.34,73.25,182.50,193.83,0.32
0,87.5,12.5,0,0,4.61,243.50,245.51,242.36,149.00,157.16,152.47,84.63,103.84,101.26,76.13,66.23,71.18,183.18,189.05,0.33
0,81.25,18.75,0,0,4.47,229.04,225.30,225.08,139.16,155.87,153.79,71.20,94.07,93.96,67.22,56.49,61.85,175.23,166.02,0.34
0,81.25,18.75,0,0,4.47,229.45,227.69,223.25,141.34,153.98,153.27,72.56,93.92,93.99,67.55,57.00,62.28,175.28,167.04,0.34
0,81.25,18.75,0,0,4.47,228.41,225.42,224.04,138.93,154.91,153.31,71.28,94.08,93.96,67.24,56.53,61.89,174.68,166.05,0.34
0,81.25,18.75,0,0,4.47,235.67,222.56,231.31,147.39,147.91,155.09,72.85,88.47,90.45,66.30,57.60,61.95,176.70,166.40,0.34
0,81.25,18.75,0,0,4.47,222.50,234.99,231.67,144.96,153.98,148.19,72.21,91.67,88.18,66.55,58.04,62.30,175.94,167.16,0.34
0,75,25,0,0,4.35,216.47,219.40,217.21,140.85,151.49,147.97,68.01,83.25,86.28,61.69,52.50,57.10,170.41,154.08,0.35
0,75,25,0,0,4.34,215.72,215.35,215.65,142.37,149.60,149.53,61.54,82.97,81.74,58.93,50.35,54.64,169.97,148.06,0.35
0,75,25,0,0,4.34,218.85,219.23,218.80,141.46,144.22,143.11,77.72,87.83,88.46,66.01,56.69,61.35,168.27,164.10,0.34
0,75,25,0,0,4.34,216.59,225.20,219.03,143.93,154.42,147.86,66.00,80.55,84.25,60.47,52.02,56.24,172.58,152.20,0.35
0,75,25,0,0,4.34,222.73,210.37,216.24,141.94,145.45,151.53,66.25,84.71,79.06,60.03,51.33,55.68,169.69,150.57,0.35
0,75,25,0,0,4.35,218.48,216.65,212.32,141.58,145.22,150.00,68.00,86.81,81.64,61.33,52.11,56.72,169.01,153.04,0.35
0,75,25,0,0,4.34,209.29,217.32,218.57,138.41,150.98,146.15,67.62,82.53,86.84,61.38,51.91,56.64,168.47,152.81,0.35
0,75,25,0,0,4.34,227.94,211.60,233.97,147.35,140.32,150.07,78.74,93.56,80.00,66.18,56.79,61.49,172.11,164.83,0.34
0,68.75,31.25,0,0,4.22,205.43,207.56,204.81,140.12,152.23,151.54,57.20,75.57,81.13,54.38,44.02,49.20,167.29,134.42,0.37
0,68.75,31.25,0,0,4.22,218.75,189.52,215.00,140.26,133.73,149.31,62.18,67.25,72.33,53.68,45.69,49.69,163.32,135.34,0.36
0,68.75,31.25,0,0,4.22,197.30,216.17,199.65,133.53,150.81,150.91,53.03,83.18,77.67,54.63,43.14,48.89,164.85,133.46,0.37
0,68.75,31.25,0,0,4.22,203.80,213.13,217.36,143.55,148.09,145.03,67.66,74.05,80.98,57.71,49.17,53.44,167.51,144.92,0.36
0,68.75,31.25,0,0,4.21,209.13,209.41,188.61,124.66,152.86,153.46,42.30,85.42,84.42,54.17,37.94,46.05,163.24,126.29,0.37
0,68.75,31.25,0,0,4.22,197.03,217.20,206.16,138.78,154.22,146.89,55.40,75.78,75.72,53.41,43.76,48.59,166.68,132.86,0.37
0,68.75,31.25,0,0,4.22,210.99,207.79,200.83,137.88,147.38,153.67,62.76,85.05,72.00,56.01,45.12,50.56,166.39,137.73,0.36
0,68.75,31.25,0,0,4.22,196.80,217.42,198.94,134.00,150.30,151.20,53.02,83.18,77.67,54.62,43.11,48.86,164.91,133.41,0.37
0,68.75,31.25,0,0,4.21,201.27,215.65,213.87,140.04,149.27,148.41,65.10,77.72,78.60,57.15,48.18,52.67,167.36,143.00,0.36
0,68.75,31.25,0,0,4.22,211.08,205.35,200.47,132.74,148.64,154.40,52.85,79.38,81.33,54.79,43.45,49.12,165.38,134.09,0.36
0,62.5,37.5,0,0,4.10,196.82,195.84,212.03,140.23,140.82,145.05,58.53,69.26,66.29,50.72,43.76,47.24,161.88,129.16,0.37
0,62.5,37.5,0,0,4.10,186.68,214.28,196.56,135.64,143.80,145.08,49.51,75.81,69.31,50.46,41.81,46.14,160.73,126.32,0.37
