Cu,Ni,Au,Pd,Pt,E<sub>Coh</sub> [eV/atom],C<sub>11</sub> [GPa],C<sub>22</sub> [GPa],C<sub>33</sub> [GPa],C<sub>12</sub> [GPa],C<sub>13</sub> [GPa],C<sub>23</sub> [GPa],C<sub>44</sub> [GPa],C<sub>55</sub> [GPa],C<sub>66</sub> [GPa],G<sub>V</sub> [GPa],G<sub>R</sub> [GPa],G [GPa],B [GPa],E<sub>VRH</sub> [GPa],Poisson's ratio []
0,37.5,0,62.5,0,4.15,217.03,224.31,221.48,149.33,149.82,146.21,88.97,82.23,92.58,67.25,55.81,61.53,172.61,164.99,0.34
0,62.5,0,37.5,0,4.43,241.22,237.94,236.15,146.26,148.64,153.47,90.07,96.16,93.38,73.72,64.64,69.18,179.12,183.87,0.33
0,62.5,0,37.5,0,4.43,238.21,240.24,237.01,148.33,154.06,147.14,91.67,94.02,98.36,74.54,64.94,69.74,179.39,185.22,0.33
0,62.5,0,37.5,0,4.43,234.81,244.15,232.12,144.40,156.74,150.38,85.72,93.04,96.49,72.36,62.72,67.54,179.35,180.02,0.33
0,62.5,0,37.5,0,4.43,238.40,240.94,238.22,148.55,151.52,150.03,92.48,94.46,95.03,74.22,65.08,69.65,179.75,185.06,0.33
0,62.5,0,37.5,0,4.42,237.20,237.20,233.16,148.70,151.33,151.33,88.45,92.56,92.56,71.79,62.64,67.22,178.92,179.21,0.33
0,62.5,0,37.5,0,4.43,239.06,242.33,238.29,146.47,152.33,148.68,91.84,93.45,97.72,74.75,65.77,70.26,179.40,186.44,0.33
0,62.5,0,37.5,0,4.43,236.80,245.59,234.45,146.88,156.70,147.82,90.79,92.90,98.62,74.16,64.38,69.27,179.96,184.17,0.33
0,62.5,0,37.5,0,4.43,241.06,243.86,238.57,146.84,150.63,149.56,94.41,96.90,96.46,75.98,66.88,71.43,179.73,189.23,0.32
0,62.5,0,37.5,0,4.43,231.30,245.67,236.00,147.66,157.53,144.94,91.16,90.80,98.34,73.58,63.56,68.57,179.25,182.45,0.33
0,62.5,0,37.5,0,4.43,236.41,245.64,234.88,146.71,156.72,148.07,90.80,92.90,98.62,74.16,64.38,69.27,179.99,184.18,0.33
0,62.5,0,37.5,0,4.43,232.85,239.74,237.84,150.71,150.88,147.62,91.99,93.83,94.47,73.47,63.97,68.72,178.76,182.75,0.33
0,62.5,0,37.5,0,4.43,246.16,224.73,245.29,153.79,140.37,157.13,96.68,100.50,85.62,74.22,63.24,68.73,179.86,182.89,0.33
0,56.25,0,43.75,0,4.37,247.77,221.91,248.00,153.27,134.64,154.07,100.39,101.22,80.95,74.89,63.93,69.41,177.96,184.28,0.33
0,56.25,0,43.75,0,4.35,232.24,234.82,223.06,143.18,155.35,151.96,81.45,88.77,91.91,68.40,58.52,63.46,176.79,170.04,0.34
0,56.25,0,43.75,0,4.37,239.27,239.27,242.03,146.94,146.04,146.04,92.21,92.81,92.81,74.33,66.64,70.49,177.62,186.76,0.32
0,56.25,0,43.75,0,4.36,239.60,225.49,239.06,151.47,142.52,153.42,93.84,96.13,85.49,72.21,62.25,67.23,177.66,179.09,0.33
0,56.25,0,43.75,0,4.37,236.77,227.20,237.44,152.60,142.13,150.63,92.55,95.14,90.49,72.70,62.62,67.66,176.90,180.03,0.33
0,56.25,0,43.75,0,4.36,234.16,229.50,228.39,148.38,150.11,151.55,87.76,92.39,89.28,70.02,60.17,65.09,176.90,173.95,0.34
0,56.25,0,43.75,0,4.36,232.60,235.14,234.49,147.89,150.10,148.02,89.66,92.41,90.63,71.62,62.60,67.11,177.14,178.76,0.33
0,56.25,0,43.75,0,4.36,245.49,226.37,244.77,151.81,138.81,151.08,97.63,98.21,88.22,75.14,65.31,70.22,177.78,186.16,0.33
0,56.25,0,43.75,0,4.37,232.27,229.03,241.67,155.20,144.27,147.56,95.04,95.70,90.81,73.37,62.85,68.11,177.45,181.15,0.33
0,56.25,0,43.75,0,4.36,243.87,220.71,239.69,152.98,135.97,157.58,94.83,99.49,79.41,71.93,60.61,66.27,177.48,176.81,0.33
0,56.25,0,43.75,0,4.36,235.27,241.73,223.85,138.25,157.67,149.52,81.33,94.90,98.37,71.95,61.12,66.53,176.86,177.36,0.33
0,50,0,50,0,4.29,237.22,219.90,221.93,145.41,144.45,159.78,85.60,94.87,83.95,68.18,56.40,62.29,175.37,167.09,0.34
0,50,0,50,0,4.29,230.70,230.70,222.58,142.99,152.73,152.73,82.50,92.39,92.39,69.16,58.53,63.84,175.65,170.83,0.34
0,50,0,50,0,4.29,238.67,243.19,221.61,134.23,154.14,149.84,76.56,98.95,100.91,72.97,62.17,67.57,175.54,179.65,0.33
0,50,0,50,0,4.29,230.73,227.65,220.58,144.14,150.68,154.57,84.72,91.89,89.92,68.61,57.58,63.10,175.30,169.01,0.34
0,50,0,50,0,4.30,234.48,221.69,230.36,149.91,142.97,153.94,90.87,95.45,88.18,70.88,59.73,65.31,175.57,174.31,0.33
0,50,0,50,0,4.29,232.61,226.71,220.61,142.85,150.15,156.16,82.89,92.10,88.48,68.08,57.25,62.66,175.36,167.98,0.34
0,50,0,50,0,4.29,230.91,229.66,216.36,140.82,153.97,155.71,80.13,91.44,91.03,67.62,55.99,61.80,175.33,165.92,0.34
