Cu,Ni,Au,Pd,Pt,E<sub>Coh</sub> [eV/atom],C<sub>11</sub> [GPa],C<sub>22</sub> [GPa],C<sub>33</sub> [GPa],C<sub>12</sub> [GPa],C<sub>13</sub> [GPa],C<sub>23</sub> [GPa],C<sub>44</sub> [GPa],C<sub>55</sub> [GPa],C<sub>66</sub> [GPa],G<sub>V</sub> [GPa],G<sub>R</sub> [GPa],G [GPa],B [GPa],E<sub>VRH</sub> [GPa],Poisson's ratio []
0,6.25,0,0,93.75,5.51,312.62,312.62,312.61,207.87,211.68,211.68,69.19,69.59,69.59,62.12,60.71,61.42,244.48,170.01,0.38
0,93.75,0,0,6.25,4.94,272.65,272.65,272.06,160.98,159.31,159.31,127.56,126.96,126.96,98.81,84.57,91.69,197.40,238.19,0.30
0,87.5,0,0,12.5,5.00,276.44,276.44,268.86,165.43,160.55,160.55,121.83,123.94,123.94,96.29,83.12,89.71,199.42,234.03,0.30
0,87.5,0,0,12.5,4.99,271.24,265.59,273.98,164.77,159.19,161.31,122.00,120.50,119.45,94.09,80.87,87.48,197.93,228.74,0.31
0,81.25,0,0,18.75,5.03,284.52,256.89,288.04,165.36,162.74,163.50,121.28,120.63,113.07,93.52,81.56,87.54,201.40,229.39,0.31
0,81.25,0,0,18.75,5.04,267.30,276.74,269.88,168.35,165.27,162.32,116.64,114.38,115.88,90.58,78.40,84.49,200.65,222.27,0.32
0,81.25,0,0,18.75,5.05,279.78,273.60,270.25,163.87,162.79,163.47,118.36,118.95,118.50,93.40,81.56,87.48,200.43,229.11,0.31
0,81.25,0,0,18.75,5.06,276.12,276.12,265.72,166.57,164.33,164.33,116.49,116.99,116.99,91.61,79.51,85.56,200.94,224.77,0.31
0,81.25,0,0,18.75,5.03,267.70,267.70,274.37,169.53,162.57,162.57,117.37,115.76,115.76,90.79,78.07,84.43,199.90,222.03,0.31
0,75,0,0,25,5.11,278.88,279.53,265.36,169.53,164.90,169.20,114.45,116.54,114.77,90.50,78.64,84.57,203.45,222.83,0.32
0,75,0,0,25,5.10,281.67,275.41,260.63,173.33,163.04,168.16,111.52,114.82,112.96,88.74,76.96,82.85,202.98,218.78,0.32
0,75,0,0,25,5.10,268.30,267.47,277.45,172.31,162.06,165.02,116.94,117.13,115.56,90.85,77.79,84.32,201.33,221.97,0.32
0,75,0,0,25,5.08,290.55,259.37,281.33,169.51,167.57,168.18,115.16,114.14,109.58,89.51,78.44,83.97,204.64,221.61,0.32
0,75,0,0,25,5.08,259.42,290.43,281.34,169.49,168.25,167.52,115.17,109.58,114.11,89.50,78.43,83.97,204.63,221.59,0.32
0,75,0,0,25,5.11,279.38,279.13,265.35,169.59,169.12,165.05,114.45,114.77,116.55,90.49,78.64,84.57,203.48,222.83,0.32
0,75,0,0,25,5.10,279.59,269.73,266.51,171.28,167.14,166.32,113.24,112.79,113.72,88.69,76.80,82.75,202.81,218.52,0.32
0,75,0,0,25,5.11,279.40,279.10,265.39,169.59,169.15,165.05,114.45,114.77,116.55,90.49,78.64,84.57,203.50,222.83,0.32
0,68.75,0,0,31.25,5.15,284.28,270.65,279.28,176.38,169.81,168.68,113.25,112.32,110.04,88.41,77.47,82.94,207.11,219.51,0.32
0,68.75,0,0,31.25,5.16,278.40,278.40,274.39,175.40,167.71,167.71,114.24,110.64,110.64,88.46,77.71,83.09,205.87,219.71,0.32
0,68.75,0,0,31.25,5.14,270.18,281.49,284.00,173.82,167.31,173.48,114.28,112.32,112.51,89.23,78.11,83.67,207.21,221.22,0.32
0,68.75,0,0,31.25,5.16,279.08,285.63,266.91,174.36,173.15,169.73,110.88,112.78,113.29,88.35,76.93,82.64,207.34,218.85,0.32
0,68.75,0,0,31.25,5.14,263.47,283.28,290.71,174.78,166.86,171.20,115.47,110.68,113.81,89.63,78.35,83.99,207.02,221.96,0.32
