Cu,Ni,Au,Pd,Pt,E<sub>Coh</sub> [eV/atom],C<sub>11</sub> [GPa],C<sub>22</sub> [GPa],C<sub>33</sub> [GPa],C<sub>12</sub> [GPa],C<sub>13</sub> [GPa],C<sub>23</sub> [GPa],C<sub>44</sub> [GPa],C<sub>55</sub> [GPa],C<sub>66</sub> [GPa],G<sub>V</sub> [GPa],G<sub>R</sub> [GPa],G [GPa],B [GPa],E<sub>VRH</sub> [GPa],Poisson's ratio []
6.25,0,93.75,0,0,3.07,161.93,161.93,161.49,128.81,128.51,128.51,38.48,39.11,39.11,29.97,25.29,27.63,139.67,77.77,0.41
93.75,0,6.25,0,0,3.47,190.40,190.40,188.37,117.25,119.09,119.09,82.23,86.46,86.46,65.28,54.66,59.97,142.23,157.74,0.32
87.5,0,12.5,0,0,3.45,190.37,190.58,184.06,116.42,120.71,119.84,73.01,76.41,84.02,60.56,51.74,56.15,142.11,148.84,0.33
87.5,0,12.5,0,0,3.45,190.46,190.45,184.11,116.40,120.78,119.80,73.00,76.40,84.01,60.55,51.73,56.14,142.11,148.83,0.33
81.25,0,18.75,0,0,3.43,186.56,186.56,176.56,118.21,122.62,122.62,68.13,74.18,74.18,55.71,46.84,51.28,141.84,137.29,0.34
81.25,0,18.75,0,0,3.42,187.45,179.96,182.27,121.17,120.12,119.43,66.83,70.98,76.85,55.53,47.33,51.43,141.23,137.59,0.34
81.25,0,18.75,0,0,3.42,187.49,180.08,182.28,121.25,120.14,119.49,66.82,70.98,76.84,55.53,47.33,51.43,141.29,137.59,0.34
81.25,0,18.75,0,0,3.43,186.53,186.53,176.55,118.19,122.60,122.60,68.10,74.18,74.18,55.71,46.83,51.27,141.82,137.27,0.34
75,0,25,0,0,3.40,181.84,179.88,169.87,121.38,124.32,122.42,61.44,64.93,67.89,49.75,41.50,45.62,140.87,123.54,0.35
75,0,25,0,0,3.40,181.03,181.03,156.69,123.78,125.16,125.16,59.10,67.66,67.66,48.53,37.64,43.08,140.77,117.29,0.36
75,0,25,0,0,3.41,183.82,183.27,184.11,120.83,120.72,119.22,69.52,73.59,66.87,54.69,47.19,50.94,141.42,136.44,0.34
75,0,25,0,0,3.42,188.40,186.74,186.05,119.27,119.04,120.62,64.08,65.53,69.12,53.23,47.76,50.49,142.12,135.44,0.34
75,0,25,0,0,3.40,187.92,185.59,186.87,117.16,119.94,117.16,63.20,67.68,76.12,55.14,49.03,52.09,140.99,139.12,0.34
75,0,25,0,0,3.40,165.99,179.75,178.96,131.90,126.46,114.31,64.96,64.71,64.93,49.05,37.76,43.41,141.12,118.11,0.36
75,0,25,0,0,3.41,184.49,188.18,181.92,118.65,119.87,121.25,62.27,70.41,69.91,53.51,47.05,50.28,141.57,134.87,0.34
68.75,0,31.25,0,0,3.37,176.18,177.02,170.77,126.30,121.02,120.57,56.14,61.92,58.92,45.80,39.08,42.44,139.97,115.63,0.36
68.75,0,31.25,0,0,3.39,182.73,179.92,169.72,119.74,125.67,123.60,57.30,65.18,64.40,48.27,40.62,44.44,141.15,120.66,0.36
68.75,0,31.25,0,0,3.37,175.95,176.90,170.98,126.13,121.01,120.62,56.12,61.91,58.92,45.79,39.07,42.43,139.93,115.61,0.36
68.75,0,31.25,0,0,3.38,184.34,180.97,180.12,119.54,119.89,120.36,57.18,69.43,65.35,50.77,44.69,47.73,140.56,128.62,0.35
68.75,0,31.25,0,0,3.38,178.79,179.41,168.83,120.94,121.82,124.34,60.04,67.34,61.83,48.50,40.51,44.51,140.14,120.74,0.36
68.75,0,31.25,0,0,3.38,179.60,186.29,185.56,120.25,118.52,118.31,57.32,61.57,70.21,50.78,45.54,48.16,140.62,129.67,0.35
68.75,0,31.25,0,0,3.39,179.97,182.76,169.68,119.79,123.62,125.66,57.31,64.36,65.22,48.27,40.62,44.44,141.17,120.67,0.36
68.75,0,31.25,0,0,3.37,175.71,156.06,179.41,132.61,111.14,130.05,57.12,66.29,59.18,45.68,31.35,38.51,139.86,105.82,0.37
68.75,0,31.25,0,0,3.37,156.13,175.73,179.43,132.63,130.08,111.13,57.12,59.14,66.29,45.67,31.36,38.52,139.89,105.84,0.37
68.75,0,31.25,0,0,3.37,181.96,168.24,177.64,123.51,120.98,122.73,56.69,61.66,61.70,46.72,39.82,43.27,140.25,117.70,0.36
62.5,0,37.5,0,0,3.35,179.65,176.68,164.93,120.75,122.15,125.88,54.09,61.70,58.74,45.07,37.85,41.46,139.87,113.19,0.37
62.5,0,37.5,0,0,3.36,182.10,182.20,184.51,118.69,121.16,121.21,54.12,57.42,57.42,46.31,42.65,44.48,141.22,120.76,0.36
62.5,0,37.5,0,0,3.34,182.06,172.25,176.15,121.11,120.41,118.62,54.63,58.21,58.75,45.67,40.63,43.15,138.97,117.31,0.36
62.5,0,37.5,0,0,3.36,178.56,175.81,157.06,122.21,126.40,125.42,53.11,56.77,60.91,43.32,34.71,39.01,139.94,107.09,0.37
62.5,0,37.5,0,0,3.36,182.09,182.18,184.56,118.68,121.18,121.22,54.13,57.42,57.42,46.31,42.65,44.48,141.22,120.76,0.36
62.5,0,37.5,0,0,3.36,173.52,187.09,177.86,120.66,125.26,118.17,52.56,55.71,64.20,46.12,40.73,43.42,140.74,118.12,0.36
62.5,0,37.5,0,0,3.35,175.10,178.32,166.54,122.64,125.60,121.48,51.96,54.18,63.26,43.90,37.23,40.56,139.93,110.97,0.37
62.5,0,37.5,0,0,3.35,172.31,181.46,180.89,122.65,119.34,120.62,52.52,58.75,60.14,45.75,40.73,43.24,139.98,117.61,0.36
62.5,0,37.5,0,0,3.36,182.18,183.75,184.14,116.79,118.59,123.71,58.32,65.41,61.82,49.84,44.78,47.31,140.92,127.65,0.35
62.5,0,37.5,0,0,3.35,179.07,185.41,178.09,118.59,118.95,122.96,51.90,61.98,60.91,47.10,42.41,44.75,140.40,121.36,0.36
62.5,0,37.5,0,0,3.36,181.81,175.38,174.11,121.97,124.95,118.98,53.20,55.11,59.51,44.59,39.54,42.06,140.34,114.73,0.36
56.25,0,43.75,0,0,3.33,177.79,175.55,179.40,122.03,120.09,123.85,53.08,52.15,53.18,42.80,38.76,40.78,140.52,111.55,0.37
56.25,0,43.75,0,0,3.31,177.15,157.52,179.61,121.86,120.94,127.03,52.33,57.72,43.88,40.42,34.26,37.34,139.33,102.82,0.38
