Cu,Ni,Au,Pd,Pt,E<sub>Coh</sub> [eV/atom],C<sub>11</sub> [GPa],C<sub>22</sub> [GPa],C<sub>33</sub> [GPa],C<sub>12</sub> [GPa],C<sub>13</sub> [GPa],C<sub>23</sub> [GPa],C<sub>44</sub> [GPa],C<sub>55</sub> [GPa],C<sub>66</sub> [GPa],G<sub>V</sub> [GPa],G<sub>R</sub> [GPa],G [GPa],B [GPa],E<sub>VRH</sub> [GPa],Poisson's ratio []
37.5,0,0,62.5,0,3.73,190.25,195.03,191.97,140.63,139.54,139.45,74.40,79.56,80.07,57.31,43.59,50.45,157.39,136.75,0.36
62.5,0,0,37.5,0,3.68,183.15,183.02,188.87,140.00,130.23,130.79,81.52,75.16,74.84,56.57,42.05,49.31,150.79,133.39,0.35
62.5,0,0,37.5,0,3.68,186.74,187.53,181.60,132.65,135.17,133.82,72.02,75.08,76.10,54.92,42.20,48.56,151.02,131.59,0.35
62.5,0,0,37.5,0,3.67,170.99,197.73,194.72,138.47,138.95,119.27,84.07,64.04,85.95,57.93,40.43,49.18,150.76,133.07,0.35
62.5,0,0,37.5,0,3.68,184.21,182.08,191.39,138.49,129.33,132.57,81.44,76.71,75.70,57.26,42.84,50.05,150.94,135.21,0.35
62.5,0,0,37.5,0,3.68,184.77,187.37,179.51,133.50,135.61,132.50,73.08,77.69,79.43,56.04,41.82,48.93,150.54,132.44,0.35
62.5,0,0,37.5,0,3.68,185.35,183.02,183.91,136.78,132.27,134.36,77.00,76.16,76.13,55.78,41.62,48.70,151.01,131.92,0.35
62.5,0,0,37.5,0,3.68,184.47,187.41,185.28,134.47,135.19,131.95,77.09,76.66,78.33,56.78,43.05,49.92,151.15,134.90,0.35
62.5,0,0,37.5,0,3.69,191.89,191.54,181.59,129.20,133.29,135.29,71.83,80.79,76.52,56.98,44.55,50.76,151.18,136.96,0.35
62.5,0,0,37.5,0,3.69,191.71,193.46,191.85,131.58,132.15,128.49,79.39,82.42,82.20,61.12,49.04,55.08,151.27,147.36,0.34
