Cu,Ni,Au,Pd,Pt,E<sub>Coh</sub> [eV/atom],C<sub>11</sub> [GPa],C<sub>22</sub> [GPa],C<sub>33</sub> [GPa],C<sub>12</sub> [GPa],C<sub>13</sub> [GPa],C<sub>23</sub> [GPa],C<sub>44</sub> [GPa],C<sub>55</sub> [GPa],C<sub>66</sub> [GPa],G<sub>V</sub> [GPa],G<sub>R</sub> [GPa],G [GPa],B [GPa],E<sub>VRH</sub> [GPa],Poisson's ratio []
6.25,0,0,0,93.75,5.44,310.35,310.35,305.93,209.13,211.13,211.13,80.46,81.06,81.06,68.20,64.29,66.24,243.27,182.19,0.38
93.75,0,0,0,6.25,3.66,182.53,182.53,181.73,132.51,128.89,128.89,84.20,83.99,83.99,60.87,44.45,52.66,147.49,141.17,0.34
87.5,0,0,0,12.5,3.82,207.26,207.47,207.52,130.66,127.74,126.06,85.15,89.27,91.55,69.05,59.24,64.15,154.57,169.05,0.32
87.5,0,0,0,12.5,3.80,184.17,203.99,206.37,139.82,134.84,119.76,94.21,80.54,95.19,67.33,50.59,58.96,153.71,156.82,0.33
81.25,0,0,0,18.75,3.97,207.18,207.18,191.68,140.01,139.80,139.80,85.74,80.92,80.92,61.95,49.39,55.67,160.58,149.70,0.34
81.25,0,0,0,18.75,3.95,216.57,177.60,215.48,143.73,122.17,145.11,91.25,91.42,73.69,64.51,45.94,55.23,159.08,148.50,0.34
81.25,0,0,0,18.75,3.96,190.91,204.70,189.28,138.60,151.63,136.16,86.74,80.32,83.79,60.74,42.48,51.61,159.74,139.78,0.35
81.25,0,0,0,18.75,3.95,203.56,188.83,201.22,146.63,130.87,142.28,83.40,83.09,73.68,59.62,45.15,52.39,159.24,141.63,0.35
81.25,0,0,0,18.75,3.95,203.79,189.13,200.88,146.90,130.81,142.26,83.40,83.09,73.68,59.62,45.16,52.39,159.30,141.64,0.35
75,0,0,0,25,4.09,202.50,203.95,207.86,150.24,140.49,146.96,77.40,84.99,78.81,60.02,47.06,53.54,165.52,144.99,0.35
75,0,0,0,25,4.09,196.44,196.44,201.38,158.52,143.97,143.97,79.46,72.05,72.05,54.56,39.65,47.11,165.24,129.05,0.37
75,0,0,0,25,4.11,211.84,189.73,214.50,154.32,139.42,147.18,80.80,82.33,76.66,59.63,44.72,52.18,166.43,141.72,0.36
75,0,0,0,25,4.11,210.22,198.38,216.86,157.80,137.90,140.45,89.12,82.42,77.23,62.37,47.67,55.02,166.42,148.68,0.35
75,0,0,0,25,4.09,198.78,200.49,198.49,159.77,143.32,142.72,76.77,75.17,80.32,56.58,41.12,48.85,165.49,133.42,0.37
75,0,0,0,25,4.12,204.96,211.62,214.01,148.82,144.74,141.12,79.16,76.52,79.23,60.04,49.85,54.95,166.66,148.52,0.35
75,0,0,0,25,4.10,197.75,205.66,200.68,153.80,144.99,144.39,78.75,71.03,73.16,55.32,43.06,49.19,165.61,134.28,0.36
68.75,0,0,0,31.25,4.22,219.23,198.56,231.95,162.36,137.38,148.49,97.37,90.20,85.56,68.06,49.31,58.68,171.80,158.05,0.35
68.75,0,0,0,31.25,4.23,207.86,218.86,217.36,154.53,151.84,145.61,81.04,83.29,85.33,62.74,50.17,56.45,172.01,152.66,0.35
68.75,0,0,0,31.25,4.22,216.34,200.63,213.11,161.65,145.40,149.98,83.67,78.61,73.63,58.72,44.90,51.81,171.57,141.21,0.36
68.75,0,0,0,31.25,4.25,222.80,195.98,225.03,165.38,137.91,152.68,91.35,80.59,71.88,61.29,44.25,52.77,172.86,143.68,0.36
68.75,0,0,0,31.25,4.23,201.66,221.71,207.32,157.17,152.29,146.05,77.91,81.87,80.36,59.71,46.22,52.96,171.30,144.04,0.36
68.75,0,0,0,31.25,4.23,213.55,213.55,196.99,163.12,147.40,147.40,75.51,77.82,77.82,57.31,44.64,50.98,171.10,139.11,0.36
68.75,0,0,0,31.25,4.23,215.80,201.85,215.44,162.54,144.39,149.93,85.30,77.74,77.32,59.82,45.46,52.64,171.87,143.29,0.36
68.75,0,0,0,31.25,4.22,220.81,193.47,221.43,160.10,141.02,151.59,90.99,80.13,82.94,63.01,45.92,54.47,171.24,147.73,0.36
68.75,0,0,0,31.25,4.25,203.37,216.62,223.76,159.78,150.18,144.35,87.78,79.35,73.86,60.83,47.81,54.32,172.48,147.48,0.36
68.75,0,0,0,31.25,4.24,212.53,212.47,205.38,151.18,151.13,154.24,73.78,77.64,76.41,57.16,45.93,51.54,171.50,140.55,0.36
62.5,0,0,0,37.5,4.37,209.75,222.31,223.06,168.51,157.17,152.83,86.54,72.79,77.55,59.15,45.63,52.39,179.13,143.20,0.37
62.5,0,0,0,37.5,4.37,218.33,218.33,214.03,162.01,156.98,156.98,77.89,72.28,72.28,56.14,45.75,50.94,178.07,139.53,0.37
