Cu,Ni,Au,Pd,Pt,E<sub>Coh</sub> [eV/atom],C<sub>11</sub> [GPa],C<sub>22</sub> [GPa],C<sub>33</sub> [GPa],C<sub>12</sub> [GPa],C<sub>13</sub> [GPa],C<sub>23</sub> [GPa],C<sub>44</sub> [GPa],C<sub>55</sub> [GPa],C<sub>66</sub> [GPa],G<sub>V</sub> [GPa],G<sub>R</sub> [GPa],G [GPa],B [GPa],E<sub>VRH</sub> [GPa],Poisson's ratio []
0,0,37.5,62.5,0,3.55,184.32,183.57,182.54,141.42,142.89,144.91,63.23,63.84,63.76,46.25,34.12,40.18,156.54,111.04,0.38
0,0,62.5,37.5,0,3.38,176.22,176.22,179.21,138.56,136.41,136.41,51.40,49.55,49.55,38.12,31.26,34.69,150.49,96.64,0.39
0,0,62.5,37.5,0,3.39,176.25,174.42,178.39,139.26,134.80,138.62,48.93,51.14,43.36,36.44,29.90,33.17,150.49,92.71,0.40
0,0,62.5,37.5,0,3.38,170.81,170.81,178.84,144.67,136.02,136.02,50.33,45.96,45.96,35.37,26.83,31.10,150.43,87.28,0.40
0,0,62.5,37.5,0,3.38,173.24,177.21,177.93,140.39,139.14,132.67,49.10,42.35,50.67,36.17,29.45,32.81,150.31,91.76,0.40
0,0,62.5,37.5,0,3.37,172.74,174.69,179.17,142.61,135.43,133.60,50.16,43.12,44.95,35.31,28.77,32.04,149.99,89.73,0.40
0,0,62.5,37.5,0,3.39,176.05,173.34,177.93,141.98,133.00,139.06,51.35,50.69,48.36,37.63,29.56,33.59,150.60,93.81,0.40
0,0,62.5,37.5,0,3.38,170.07,172.00,179.28,144.66,136.57,133.32,49.85,41.56,47.06,34.81,26.82,30.82,150.05,86.53,0.40
0,0,62.5,37.5,0,3.39,173.96,174.70,178.46,139.27,137.31,136.79,48.26,44.41,47.69,35.66,29.36,32.51,150.43,90.97,0.40
0,0,62.5,37.5,0,3.39,172.34,172.34,170.29,131.64,144.14,144.14,36.78,48.57,48.57,33.12,24.28,28.70,150.54,80.95,0.41
0,0,62.5,37.5,0,3.38,172.67,170.24,177.74,144.16,133.81,136.94,49.02,47.59,40.51,34.47,26.84,30.65,150.05,86.10,0.40
0,0,62.5,37.5,0,3.38,174.05,172.58,179.59,142.26,133.46,137.88,49.85,47.79,42.93,35.62,28.60,32.11,150.38,89.93,0.40
0,0,62.5,37.5,0,3.38,174.08,173.70,178.50,143.27,136.11,134.31,52.04,50.50,46.48,37.31,29.25,33.28,150.41,92.99,0.40
0,0,56.25,43.75,0,3.43,178.50,179.11,176.86,135.08,140.26,139.66,43.92,46.78,54.25,36.96,30.49,33.72,151.61,94.18,0.40
0,0,56.25,43.75,0,3.41,171.96,177.11,178.02,142.18,141.15,134.40,42.29,55.87,40.93,35.11,27.84,31.47,151.39,88.30,0.40
0,0,56.25,43.75,0,3.43,179.14,178.74,178.18,138.12,137.48,140.07,45.87,47.76,50.39,36.83,30.78,33.80,151.93,94.41,0.40
0,0,56.25,43.75,0,3.43,180.44,180.17,174.32,129.61,142.76,143.32,42.44,58.83,51.56,38.51,29.59,34.05,151.81,95.06,0.40
0,0,56.25,43.75,0,3.43,179.11,178.50,176.86,135.08,139.66,140.25,43.92,54.26,46.77,36.96,30.49,33.72,151.60,94.18,0.40
0,0,56.25,43.75,0,3.42,178.27,178.43,178.57,138.47,139.10,136.88,48.24,51.65,45.23,37.08,30.93,34.01,151.57,94.92,0.40
0,0,56.25,43.75,0,3.44,179.51,177.45,172.38,130.50,141.92,145.48,42.74,52.75,52.78,37.08,27.82,32.45,151.68,90.87,0.40
0,0,56.25,43.75,0,3.42,175.29,175.88,176.85,141.09,139.51,137.87,46.59,46.60,47.42,35.43,28.74,32.08,151.66,89.91,0.40
0,0,56.25,43.75,0,3.42,177.16,176.55,178.20,140.09,138.19,139.10,45.08,43.22,53.52,36.00,29.59,32.80,151.85,91.78,0.40
0,0,56.25,43.75,0,3.42,177.92,177.57,179.52,138.64,137.09,138.64,45.08,58.30,41.31,36.98,30.65,33.81,151.53,94.42,0.40
0,0,56.25,43.75,0,3.43,175.64,175.54,177.10,140.45,138.90,139.26,45.53,47.66,47.11,35.37,28.77,32.07,151.72,89.89,0.40
0,0,56.25,43.75,0,3.43,180.16,180.44,174.30,129.61,143.32,142.76,42.43,51.57,58.82,38.51,29.59,34.05,151.81,95.05,0.40
0,0,56.25,43.75,0,3.43,173.70,177.64,176.22,142.51,142.94,134.61,47.82,39.34,53.55,35.31,27.70,31.51,151.96,88.41,0.40
0,0,56.25,43.75,0,3.42,176.13,174.67,176.99,141.17,136.10,141.40,45.30,44.06,55.79,36.31,28.72,32.51,151.68,91.04,0.40
0,0,50,50,0,3.48,187.47,188.19,184.79,132.95,137.82,136.20,58.50,67.37,63.01,48.01,39.54,43.77,152.71,119.87,0.37
0,0,50,50,0,3.46,183.22,180.04,180.97,137.72,136.39,141.17,53.02,58.08,60.77,42.97,34.17,38.57,152.75,106.72,0.38
0,0,50,50,0,3.48,186.36,185.99,185.29,133.87,137.31,136.56,56.43,60.88,61.02,45.66,38.24,41.95,152.57,115.28,0.37
0,0,50,50,0,3.47,183.18,179.38,179.35,136.63,135.56,143.38,55.88,61.05,57.81,43.37,33.64,38.50,152.56,106.55,0.38
0,0,50,50,0,3.47,188.59,186.82,187.85,135.83,134.51,134.69,57.33,60.98,61.33,46.48,39.68,43.08,152.59,118.11,0.37
0,0,50,50,0,3.47,181.77,183.82,181.18,134.92,139.82,137.54,54.48,63.83,61.34,44.90,35.68,40.29,152.37,111.07,0.38
0,0,50,50,0,3.47,185.61,183.29,182.23,134.66,135.71,140.29,57.82,64.40,60.07,45.82,36.85,41.34,152.49,113.73,0.38
0,0,50,50,0,3.47,183.42,180.28,180.60,136.77,134.45,142.25,57.58,63.63,57.23,44.41,34.77,39.59,152.36,109.30,0.38
0,0,50,50,0,3.46,181.95,183.73,182.46,138.42,138.84,134.38,56.56,58.56,63.72,44.87,36.02,40.44,152.38,111.47,0.38
0,0,50,50,0,3.47,185.43,187.08,183.29,133.66,138.39,136.30,57.18,63.52,65.58,47.09,38.36,42.72,152.50,117.22,0.37
0,0,50,50,0,3.46,184.92,182.87,183.63,137.36,135.12,137.68,55.21,62.28,56.94,44.30,36.54,40.42,152.42,111.41,0.38
0,0,50,50,0,3.47,188.28,187.26,185.95,133.57,134.96,136.72,57.36,60.33,65.77,47.11,39.62,43.37,152.44,118.83,0.37
0,0,50,50,0,3.48,187.82,190.03,187.02,132.85,137.48,134.09,59.07,60.25,68.96,48.35,40.59,44.47,152.63,121.60,0.37
0,0,50,50,0,3.47,184.67,184.25,183.65,136.46,135.62,136.90,55.20,61.82,63.54,45.69,37.42,41.55,152.28,114.26,0.37
0,0,50,50,0,3.47,184.41,182.28,181.24,134.31,137.48,139.95,55.38,61.39,64.03,45.24,36.01,40.63,152.38,111.93,0.38
0,0,50,50,0,3.47,184.45,184.45,180.59,131.65,140.36,140.36,52.73,62.10,62.10,44.53,35.50,40.01,152.69,110.39,0.38
0,0,43.75,56.25,0,3.50,182.33,182.39,181.67,139.50,141.15,142.21,58.74,63.62,65.23,45.75,34.39,40.07,154.68,110.66,0.38
0,0,43.75,56.25,0,3.51,184.08,182.29,182.44,138.38,141.10,144.40,61.23,68.26,65.18,47.26,34.90,41.08,155.17,113.25,0.38
0,0,43.75,56.25,0,3.51,184.88,184.63,183.39,139.77,140.64,140.87,62.29,62.95,67.25,47.27,36.22,41.75,155.05,114.93,0.38
0,0,43.75,56.25,0,3.51,181.83,181.83,182.73,141.52,141.30,141.30,58.40,66.52,66.52,46.44,34.40,40.42,154.96,111.56,0.38
0,0,43.75,56.25,0,3.51,187.64,186.69,185.04,138.44,139.02,141.86,62.93,65.14,66.53,48.26,37.80,43.03,155.33,118.17,0.37
0,0,43.75,56.25,0,3.51,181.39,183.27,180.97,140.57,142.93,141.53,59.91,66.04,64.34,46.10,33.98,40.04,155.08,110.60,0.38
0,0,43.75,56.25,0,3.50,179.27,179.96,179.94,142.12,142.65,141.37,57.91,62.44,66.87,44.98,32.37,38.67,154.61,107.09,0.38
0,0,43.75,56.25,0,3.51,183.86,183.92,184.07,139.04,142.57,140.78,60.92,64.75,63.04,46.37,35.56,40.96,155.18,112.95,0.38
0,0,43.75,56.25,0,3.51,185.26,182.40,182.59,141.03,139.27,142.80,61.05,67.77,64.88,47.22,35.37,41.29,155.16,113.78,0.38
0,0,43.75,56.25,0,3.51,181.07,182.51,181.96,141.66,142.07,140.66,58.01,66.25,65.80,46.09,34.09,40.09,154.92,110.72,0.38
0,0,43.75,56.25,0,3.51,184.92,181.96,181.37,140.14,139.94,143.42,60.43,64.08,65.80,46.38,34.68,40.53,155.03,111.84,0.38
0,0,43.75,56.25,0,3.51,177.43,178.98,178.43,142.17,143.61,141.80,59.62,64.44,65.17,45.00,31.31,38.15,154.44,105.75,0.39
0,0,43.75,56.25,0,3.51,186.67,184.17,183.54,136.90,139.67,143.90,62.30,66.65,63.47,47.41,36.35,41.88,155.04,115.26,0.38
0,0,43.75,56.25,0,3.51,186.67,184.17,183.53,136.90,139.67,143.90,62.30,66.64,63.47,47.41,36.34,41.88,155.04,115.26,0.38
0,0,37.5,62.5,0,3.55,180.64,181.65,180.48,143.31,144.89,144.30,60.61,66.03,64.01,45.48,32.01,38.74,156.42,107.37,0.39
0,0,37.5,62.5,0,3.55,178.59,178.43,175.89,140.90,148.52,146.94,60.78,63.84,66.65,44.69,28.55,36.62,156.18,101.89,0.39
0,0,37.5,62.5,0,3.55,186.06,186.06,187.02,145.00,140.71,140.71,60.61,62.85,62.85,46.11,35.92,41.01,156.89,113.18,0.38
0,0,37.5,62.5,0,3.55,183.21,183.21,182.79,141.36,143.56,143.56,62.44,62.88,62.88,45.69,33.93,39.81,156.24,110.08,0.38
0,0,37.5,62.5,0,3.54,181.30,179.61,180.33,141.07,145.18,146.93,58.08,62.17,64.81,44.21,31.06,37.64,156.40,104.52,0.39
0,0,37.5,62.5,0,3.54,183.47,184.90,184.26,141.46,143.45,142.62,61.94,63.72,61.92,45.86,34.72,40.29,156.41,111.30,0.38
0,0,37.5,62.5,0,3.54,177.38,178.30,176.85,141.98,147.55,146.01,59.96,64.61,63.34,44.05,28.84,36.45,155.96,101.43,0.39
0,0,37.5,62.5,0,3.54,176.39,176.39,177.42,145.23,145.42,145.42,57.56,64.01,64.01,43.39,28.39,35.89,155.82,99.99,0.39
0,0,37.5,62.5,0,3.54,180.42,180.38,180.79,143.55,145.74,142.76,59.00,61.76,63.27,44.11,31.49,37.80,156.19,104.94,0.39
0,0,6.25,93.75,0,3.72,191.45,191.45,195.53,145.47,148.90,148.90,60.89,62.95,62.95,46.37,36.48,41.43,162.78,114.56,0.38
0,0,93.75,6.25,0,3.11,167.59,167.59,164.91,128.44,132.84,132.84,25.53,33.64,33.64,25.63,23.45,24.54,143.15,69.64,0.42
0,0,87.5,12.5,0,3.17,168.84,172.34,171.48,137.37,129.68,122.00,51.41,28.46,47.04,33.62,27.99,30.81,143.42,86.24,0.40
0,0,87.5,12.5,0,3.17,164.96,164.96,164.16,130.05,134.92,134.92,28.46,46.49,46.49,30.57,24.13,27.35,143.76,77.16,0.41
0,0,81.25,18.75,0,3.23,164.90,161.85,171.42,139.60,125.58,129.69,45.43,30.82,18.51,25.84,20.99,23.41,143.10,66.61,0.42
0,0,81.25,18.75,0,3.23,153.37,158.13,159.07,131.37,139.87,135.01,19.53,17.63,29.97,17.72,14.73,16.22,142.57,46.89,0.45
0,0,81.25,18.75,0,3.23,158.14,153.38,159.07,131.39,135.02,139.87,19.55,29.99,17.62,17.72,14.73,16.22,142.57,46.89,0.45
0,0,81.25,18.75,0,3.22,163.37,160.97,165.87,138.20,123.60,134.71,41.25,30.09,25.09,25.53,20.77,23.15,142.58,65.89,0.42
0,0,81.25,18.75,0,3.23,160.37,160.37,161.94,128.13,135.66,135.66,18.64,31.65,31.65,21.94,18.86,20.40,142.40,58.41,0.43
0,0,75,25,0,3.28,169.42,171.52,167.01,127.34,140.34,133.24,33.25,31.86,47.17,29.59,24.74,27.16,145.53,76.72,0.41
0,0,75,25,0,3.28,164.83,164.83,161.37,135.20,137.73,137.73,25.70,32.03,32.03,23.31,19.81,21.56,145.82,61.65,0.43
0,0,75,25,0,3.28,169.41,171.52,167.01,127.35,140.34,133.23,33.25,31.85,47.17,29.59,24.74,27.16,145.53,76.72,0.41
0,0,75,25,0,3.27,162.17,170.07,164.77,129.95,141.19,130.58,25.46,21.18,40.90,23.86,20.06,21.96,144.49,62.70,0.43
0,0,75,25,0,3.28,169.86,168.58,166.34,128.42,132.02,140.28,28.36,43.30,27.64,26.80,23.11,24.96,145.13,70.81,0.42
0,0,75,25,0,3.28,169.86,168.59,166.34,128.42,132.02,140.28,28.36,43.31,27.64,26.80,23.11,24.96,145.14,70.81,0.42
0,0,75,25,0,3.28,168.53,168.53,166.93,129.48,135.19,135.19,30.20,34.48,34.48,26.77,24.01,25.39,144.86,71.97,0.42
0,0,75,25,0,3.29,167.14,168.74,164.77,126.70,138.65,142.23,34.54,37.87,37.54,28.19,22.00,25.10,146.20,71.21,0.42
0,0,68.75,31.25,0,3.34,177.93,177.92,176.21,133.05,135.54,135.41,50.72,53.68,52.48,39.91,33.04,36.47,148.90,101.16,0.39
0,0,68.75,31.25,0,3.34,173.00,178.83,177.34,141.51,140.87,121.24,58.88,14.19,59.27,34.84,23.33,29.09,148.49,81.91,0.41
0,0,68.75,31.25,0,3.34,176.74,177.27,178.12,139.42,131.88,132.46,58.21,47.06,45.77,38.77,32.22,35.49,148.85,98.64,0.39
0,0,68.75,31.25,0,3.34,177.92,177.94,176.21,133.05,135.40,135.54,50.72,52.48,53.67,39.91,33.04,36.48,148.89,101.17,0.39
0,0,68.75,31.25,0,3.34,178.73,178.35,178.39,136.87,129.93,135.34,55.12,53.89,43.65,39.42,33.23,36.32,148.86,100.77,0.39
0,0,68.75,31.25,0,3.34,178.34,178.34,176.92,124.13,138.82,138.82,12.90,62.64,62.64,36.42,24.28,30.35,148.57,85.25,0.40
0,0,68.75,31.25,0,3.34,173.25,173.25,170.67,127.78,141.24,141.24,32.54,53.07,53.07,34.86,26.30,30.58,148.63,85.86,0.40
0,0,68.75,31.25,0,3.34,179.53,180.32,179.22,136.31,134.75,129.79,56.53,41.72,56.32,40.13,34.04,37.08,148.97,102.72,0.39
0,0,68.75,31.25,0,3.34,177.29,177.73,177.51,137.07,135.65,130.61,55.17,43.46,53.71,39.08,32.58,35.83,148.80,99.51,0.39
0,0,68.75,31.25,0,3.34,177.99,178.44,178.11,135.99,131.46,135.77,57.00,56.50,44.03,40.26,33.39,36.83,149.00,102.07,0.39
0,0,31.25,68.75,0,3.59,176.32,177.54,174.13,145.02,148.94,147.66,62.72,65.92,65.56,44.60,26.71,35.66,156.80,99.43,0.39
0,0,31.25,68.75,0,3.57,180.88,181.42,180.28,145.90,146.48,143.20,61.72,63.40,62.30,44.62,31.14,37.88,157.08,105.18,0.39
0,0,31.25,68.75,0,3.58,181.86,179.96,181.88,146.07,144.06,147.66,62.59,61.04,65.70,44.93,30.96,37.94,157.70,105.37,0.39
0,0,31.25,68.75,0,3.59,182.69,184.60,184.14,145.34,146.58,142.93,62.43,66.00,64.32,46.32,33.30,39.81,157.90,110.17,0.38
0,0,31.25,68.75,0,3.57,180.61,180.79,179.78,144.20,146.97,144.58,61.29,63.54,64.37,44.87,30.91,37.89,156.96,105.20,0.39
0,0,31.25,68.75,0,3.57,177.18,177.18,175.72,145.62,148.30,146.65,59.22,64.85,62.92,43.37,27.35,35.36,156.80,98.65,0.40
0,0,31.25,68.75,0,3.58,181.25,182.05,180.01,141.16,148.38,149.26,61.11,63.81,62.15,44.38,30.10,37.24,157.88,103.58,0.39
0,0,31.25,68.75,0,3.58,185.52,185.98,188.69,147.77,141.03,142.31,61.68,60.92,64.69,46.06,35.12,40.59,158.05,112.17,0.38
0,0,31.25,68.75,0,3.58,177.50,177.50,179.12,148.75,146.96,146.96,58.08,63.65,63.65,43.17,27.73,35.45,157.72,98.95,0.40
0,0,25,75,0,3.61,180.43,180.05,178.97,147.05,147.97,147.00,59.51,63.96,63.52,43.89,29.17,36.53,158.17,101.76,0.39
