Cu,Ni,Au,Pd,Pt,E<sub>Coh</sub> [eV/atom],C<sub>11</sub> [GPa],C<sub>22</sub> [GPa],C<sub>33</sub> [GPa],C<sub>12</sub> [GPa],C<sub>13</sub> [GPa],C<sub>23</sub> [GPa],C<sub>44</sub> [GPa],C<sub>55</sub> [GPa],C<sub>66</sub> [GPa],G<sub>V</sub> [GPa],G<sub>R</sub> [GPa],G [GPa],B [GPa],E<sub>VRH</sub> [GPa],Poisson's ratio []
0,0,6.25,0,93.75,5.37,296.99,296.99,299.29,213.54,212.26,212.26,62.69,62.67,62.67,54.62,52.69,53.65,241.04,149.84,0.40
0,0,93.75,0,6.25,3.19,173.12,173.12,169.71,131.29,135.74,135.74,27.82,37.12,37.12,27.96,25.37,26.66,146.83,75.42,0.41
0,0,87.5,0,12.5,3.34,174.39,174.39,173.72,136.34,142.48,142.48,32.36,48.16,48.16,32.49,25.91,29.20,151.68,82.31,0.41
0,0,87.5,0,12.5,3.34,181.40,178.67,182.82,143.32,131.63,137.79,50.57,53.07,38.91,37.19,31.30,34.24,152.04,95.56,0.40
0,0,81.25,0,18.75,3.49,172.25,173.09,176.60,147.70,144.67,146.66,34.62,23.21,27.03,22.50,19.59,21.04,155.56,60.41,0.44
0,0,81.25,0,18.75,3.48,174.80,172.41,176.72,148.61,145.92,144.55,36.60,28.86,18.58,22.46,19.29,20.88,155.79,59.96,0.44
0,0,81.25,0,18.75,3.49,172.21,175.56,177.95,150.04,147.94,142.54,37.15,17.03,34.52,23.42,19.06,21.24,156.31,60.96,0.44
0,0,81.25,0,18.75,3.49,166.32,169.15,175.15,155.11,149.12,140.34,37.05,14.55,26.12,19.95,13.24,16.60,155.53,48.08,0.45
0,0,81.25,0,18.75,3.49,175.57,172.21,177.95,150.04,142.55,147.95,37.12,34.61,17.03,23.43,19.07,21.25,156.31,60.98,0.43
0,0,75,0,25,3.63,169.85,180.09,175.21,154.00,160.48,143.90,26.44,13.76,33.73,19.24,12.35,15.79,160.21,45.87,0.45
0,0,75,0,25,3.63,191.87,191.87,181.09,126.11,157.49,157.49,15.45,57.32,57.32,34.27,19.92,27.09,160.78,76.96,0.42
0,0,75,0,25,3.63,179.64,178.37,176.68,147.12,150.60,158.83,18.70,34.15,23.39,20.46,17.00,18.73,160.86,54.08,0.44
0,0,75,0,25,3.63,178.00,178.00,181.96,156.89,149.45,149.45,37.48,21.49,21.49,21.57,18.26,19.91,161.06,57.37,0.44
0,0,75,0,25,3.63,196.57,181.77,195.87,155.85,129.79,155.19,51.95,53.51,25.51,35.09,25.46,30.27,161.76,85.48,0.41
0,0,75,0,25,3.64,181.36,181.36,181.60,151.10,152.90,152.90,27.22,29.07,29.07,22.90,20.58,21.74,162.01,62.42,0.44
0,0,75,0,25,3.63,181.27,184.34,183.44,152.19,156.79,144.79,34.47,23.07,38.14,25.49,21.47,23.48,161.84,67.19,0.43
0,0,75,0,25,3.64,181.36,181.36,181.60,151.11,152.90,152.90,27.23,29.07,29.07,22.90,20.58,21.74,162.02,62.42,0.44
0,0,68.75,0,31.25,3.78,196.86,199.96,200.09,154.94,153.75,149.72,49.33,44.92,46.06,37.30,32.98,35.14,168.19,98.55,0.40
0,0,68.75,0,31.25,3.78,197.47,199.65,199.69,154.69,150.52,150.63,48.68,43.70,45.09,36.89,33.08,34.99,167.61,98.14,0.40
0,0,68.75,0,31.25,3.78,195.63,198.15,196.71,156.87,158.52,150.09,48.96,37.06,49.38,35.41,30.20,32.80,169.05,92.44,0.41
0,0,68.75,0,31.25,3.78,194.90,191.79,193.39,156.76,150.50,159.53,46.69,48.86,30.24,32.71,27.20,29.96,168.18,84.83,0.42
0,0,68.75,0,31.25,3.78,197.56,195.30,194.75,153.38,151.62,157.01,43.99,47.61,41.02,34.90,30.39,32.65,167.96,91.98,0.41
0,0,68.75,0,31.25,3.78,200.30,199.10,200.36,155.14,152.26,152.48,48.64,44.54,47.51,37.46,33.33,35.39,168.84,99.25,0.40
0,0,68.75,0,31.25,3.78,194.20,197.08,194.54,148.55,157.37,153.46,36.35,45.93,47.94,34.47,29.95,32.21,167.17,90.81,0.41
0,0,68.75,0,31.25,3.79,197.80,199.55,200.60,151.95,152.30,151.56,46.30,45.50,46.72,37.18,33.45,35.32,167.73,99.00,0.40
0,0,68.75,0,31.25,3.79,197.12,195.21,196.41,152.88,152.72,155.13,44.59,47.29,47.22,36.35,31.50,33.93,167.80,95.36,0.41
0,0,68.75,0,31.25,3.78,200.29,199.09,200.35,155.14,152.26,152.48,48.64,44.54,47.51,37.46,33.32,35.39,168.83,99.24,0.40
0,0,62.5,0,37.5,3.93,199.02,202.13,200.72,159.55,162.78,163.94,45.40,56.39,47.49,37.56,30.29,33.92,174.94,95.59,0.41
0,0,62.5,0,37.5,3.93,200.11,200.29,203.37,160.43,162.20,161.50,47.68,53.04,50.84,38.29,31.28,34.79,174.67,97.86,0.41
0,0,62.5,0,37.5,3.92,199.60,201.00,201.71,163.40,162.01,160.80,52.11,45.12,49.42,37.07,30.26,33.66,174.97,94.90,0.41
0,0,62.5,0,37.5,3.93,198.50,199.00,200.92,159.12,159.63,162.41,49.39,46.76,46.45,36.34,30.18,33.26,173.42,93.78,0.41
0,0,62.5,0,37.5,3.93,203.11,197.05,197.62,160.45,161.34,163.03,51.85,46.31,46.69,36.50,29.52,33.01,174.16,93.14,0.41
0,0,62.5,0,37.5,3.93,201.15,200.14,204.08,159.46,159.36,161.84,45.99,55.83,47.55,38.19,31.83,35.01,174.08,98.43,0.41
0,0,62.5,0,37.5,3.93,201.50,198.29,200.06,159.87,163.63,162.70,45.01,46.74,55.96,37.12,29.86,33.49,174.69,94.44,0.41
0,0,62.5,0,37.5,3.94,201.36,195.86,199.40,157.44,161.00,162.34,41.53,45.47,44.23,33.97,28.88,31.42,173.13,88.90,0.41
0,0,62.5,0,37.5,3.93,201.33,197.56,200.96,160.86,161.09,161.85,43.04,50.24,42.50,34.89,29.37,32.13,174.16,90.81,0.41
0,0,62.5,0,37.5,3.93,201.33,197.55,200.96,160.86,161.08,161.85,43.03,50.24,42.50,34.89,29.37,32.13,174.16,90.81,0.41
0,0,62.5,0,37.5,3.93,200.25,200.63,204.20,164.07,160.01,159.30,54.46,43.25,50.44,37.74,31.05,34.40,174.65,96.84,0.41
0,0,62.5,0,37.5,3.92,207.78,197.77,197.25,155.84,166.16,166.18,43.81,49.20,47.05,35.65,28.47,32.06,175.46,90.67,0.41
0,0,56.25,0,43.75,4.08,202.51,200.16,203.94,168.53,172.27,168.94,42.20,38.39,48.83,32.35,25.73,29.04,180.68,82.68,0.42
0,0,56.25,0,43.75,4.08,205.80,204.76,210.26,165.74,163.26,170.87,47.49,60.40,38.49,37.34,30.44,33.89,180.06,95.67,0.41
0,0,56.25,0,43.75,4.08,204.26,203.46,207.90,166.95,165.35,170.49,45.84,55.52,39.43,35.68,29.01,32.34,180.14,91.55,0.42
0,0,56.25,0,43.75,4.08,198.16,200.35,205.45,170.38,169.98,169.95,44.91,46.35,40.19,32.53,25.29,28.91,180.51,82.34,0.42
0,0,56.25,0,43.75,4.09,210.49,207.25,205.38,160.31,172.79,165.18,46.06,41.56,65.72,38.99,31.13,35.06,179.96,98.77,0.41
0,0,56.25,0,43.75,4.09,201.85,201.26,207.50,166.95,165.62,167.74,46.24,56.98,40.08,36.01,28.82,32.42,179.03,91.72,0.41
0,0,56.25,0,43.75,4.08,203.27,204.67,207.34,165.59,174.08,165.86,40.63,44.69,47.98,33.98,27.82,30.90,180.71,87.70,0.42
0,0,56.25,0,43.75,4.08,204.17,204.08,211.18,168.64,169.84,165.00,47.69,46.34,51.43,36.82,29.98,33.40,180.71,94.40,0.41
0,0,56.25,0,43.75,4.09,210.50,207.25,205.38,160.30,172.79,165.19,46.07,41.56,65.71,38.99,31.13,35.06,179.96,98.77,0.41
0,0,56.25,0,43.75,4.09,209.14,209.83,211.52,158.32,163.17,170.59,41.47,65.69,51.19,40.90,33.93,37.41,179.40,104.94,0.40
0,0,56.25,0,43.75,4.08,205.80,204.76,210.26,165.74,163.26,170.87,47.49,60.40,38.49,37.34,30.44,33.89,180.06,95.67,0.41
0,0,56.25,0,43.75,4.08,202.49,201.90,209.94,168.68,164.43,169.21,49.28,48.64,38.07,34.66,28.39,31.53,179.88,89.37,0.42
