Cu,Ni,Au,Pd,Pt,E<sub>Coh</sub> [eV/atom],C<sub>11</sub> [GPa],C<sub>22</sub> [GPa],C<sub>33</sub> [GPa],C<sub>12</sub> [GPa],C<sub>13</sub> [GPa],C<sub>23</sub> [GPa],C<sub>44</sub> [GPa],C<sub>55</sub> [GPa],C<sub>66</sub> [GPa],G<sub>V</sub> [GPa],G<sub>R</sub> [GPa],G [GPa],B [GPa],E<sub>VRH</sub> [GPa],Poisson's ratio []
12.5,12.5,12.5,62.5,0,3.81,183.51,202.44,199.69,145.65,149.23,134.30,73.72,66.61,78.37,54.17,40.04,47.11,160.45,128.72,0.37
12.5,12.5,12.5,62.5,0,3.79,195.81,193.57,191.42,140.29,142.76,148.33,69.76,76.24,72.47,53.66,40.73,47.20,160.40,128.94,0.37
12.5,12.5,12.5,62.5,0,3.79,194.00,184.57,188.69,148.12,146.13,152.52,67.73,76.93,70.03,50.97,34.65,42.81,162.31,118.05,0.38
12.5,12.5,62.5,12.5,0,3.42,179.68,179.46,165.34,121.04,137.83,138.07,32.36,47.66,48.53,34.21,27.45,30.83,146.48,86.43,0.40
12.5,12.5,62.5,12.5,0,3.42,171.66,167.83,158.07,127.24,146.08,136.88,28.87,32.09,50.28,28.07,18.90,23.49,146.44,66.88,0.42
12.5,12.5,62.5,12.5,0,3.41,165.70,162.91,163.65,131.33,137.21,137.72,27.70,35.26,38.78,26.08,21.43,23.76,144.98,67.58,0.42
62.5,12.5,12.5,12.5,0,3.67,179.83,181.43,178.73,132.14,134.75,141.26,67.12,76.79,72.55,52.08,37.24,44.66,150.70,121.94,0.37
62.5,12.5,12.5,12.5,0,3.66,177.45,179.91,175.17,133.16,138.24,135.42,57.81,66.46,65.47,46.33,34.70,40.51,149.57,111.48,0.38
62.5,12.5,12.5,12.5,0,3.67,183.05,188.77,185.30,131.57,136.89,133.38,68.13,77.53,78.82,55.25,42.33,48.79,151.20,132.15,0.35
12.5,62.5,12.5,12.5,0,4.28,221.22,217.55,216.14,147.12,150.63,150.57,78.60,89.11,90.86,65.49,53.65,59.57,172.39,160.25,0.35
12.5,62.5,12.5,12.5,0,4.30,226.33,215.16,227.64,149.48,145.16,148.87,88.27,89.58,90.56,68.72,57.37,63.05,172.91,168.64,0.34
12.5,62.5,12.5,12.5,0,4.30,224.74,223.44,219.66,147.22,150.60,148.78,88.59,87.25,92.47,68.41,56.88,62.64,173.45,167.74,0.34
25,25,25,25,0,3.79,189.54,199.71,191.31,135.70,144.30,134.94,69.18,71.97,79.32,55.13,43.31,49.22,156.71,133.67,0.36
25,25,25,25,0,3.80,199.07,185.93,187.36,134.17,138.82,140.52,63.06,68.17,72.66,51.37,41.23,46.30,155.49,126.35,0.36
25,25,25,25,0,3.79,192.99,188.34,182.20,137.98,140.76,143.87,58.07,73.21,66.92,49.03,37.69,43.36,156.53,119.09,0.37
18.75,18.75,18.75,43.75,0,3.81,189.08,199.43,197.37,140.96,141.49,135.61,70.89,64.64,74.33,53.16,43.23,48.20,158.00,131.25,0.36
18.75,18.75,18.75,43.75,0,3.81,195.28,190.75,196.50,142.04,137.64,139.16,71.10,68.75,66.93,52.27,42.62,47.45,157.80,129.37,0.36
18.75,18.75,18.75,43.75,0,3.80,192.62,190.32,189.10,138.58,141.83,139.84,65.28,72.78,68.95,51.52,40.72,46.12,156.95,126.02,0.37
18.75,18.75,43.75,18.75,0,3.62,193.52,175.11,191.81,133.09,133.24,142.21,56.83,66.50,58.40,46.47,37.75,42.11,153.06,115.72,0.37
18.75,18.75,43.75,18.75,0,3.62,183.61,177.88,185.08,137.50,135.69,142.13,59.90,60.34,54.57,43.71,34.61,39.16,153.02,108.25,0.38
18.75,18.75,43.75,18.75,0,3.61,191.79,175.01,181.73,136.56,135.67,143.93,55.21,63.83,54.78,43.59,33.87,38.73,153.43,107.17,0.38
43.75,18.75,18.75,18.75,0,3.74,193.22,181.43,188.47,137.56,136.58,140.16,66.76,72.74,70.97,52.02,40.17,46.09,154.64,125.79,0.36
43.75,18.75,18.75,18.75,0,3.74,196.03,187.55,195.10,133.10,129.77,137.53,64.04,73.56,68.82,53.17,44.65,48.91,153.27,132.62,0.36
43.75,18.75,18.75,18.75,0,3.74,188.17,191.23,181.95,135.68,141.53,134.39,63.04,66.29,73.03,50.45,39.63,45.04,153.84,123.11,0.37
18.75,43.75,18.75,18.75,0,4.03,204.89,201.78,209.30,143.37,137.30,146.85,73.24,83.44,79.97,59.89,48.72,54.31,163.44,146.67,0.35
18.75,43.75,18.75,18.75,0,4.03,214.32,193.64,198.60,141.31,138.63,156.03,71.28,86.95,69.51,56.92,42.66,49.79,164.28,135.67,0.36
18.75,43.75,18.75,18.75,0,4.02,201.18,206.52,201.71,144.13,143.24,141.34,72.61,76.76,78.18,57.55,47.11,52.33,162.98,141.81,0.35
6.25,6.25,6.25,81.25,0,3.78,193.55,193.55,193.29,147.21,147.14,147.14,67.86,67.64,67.64,49.89,38.25,44.07,162.60,121.25,0.38
6.25,6.25,6.25,81.25,0,3.78,192.88,195.53,196.73,148.91,146.92,144.61,70.08,68.64,69.95,51.38,39.52,45.45,162.89,124.75,0.37
6.25,6.25,6.25,81.25,0,3.78,195.71,193.06,196.65,148.93,144.68,146.85,70.15,69.91,68.72,51.42,39.58,45.50,162.93,124.87,0.37
6.25,6.25,81.25,6.25,0,3.23,168.20,163.95,166.47,127.20,131.67,138.18,34.72,43.99,35.97,29.71,24.64,27.17,143.64,76.69,0.41
6.25,6.25,81.25,6.25,0,3.23,169.61,169.61,164.40,124.59,135.99,135.99,27.84,48.83,48.83,32.24,25.35,28.79,144.08,80.98,0.41
6.25,6.25,81.25,6.25,0,3.23,168.39,163.09,159.90,134.98,125.21,141.10,38.90,50.62,23.89,28.69,20.80,24.74,143.77,70.20,0.42
81.25,6.25,6.25,6.25,0,3.59,177.26,184.91,188.53,132.52,129.54,122.53,74.60,82.91,72.63,57.10,44.03,50.57,146.65,136.06,0.35
