Cu,Ni,Au,Pd,Pt,E<sub>Coh</sub> [eV/atom],C<sub>11</sub> [GPa],C<sub>22</sub> [GPa],C<sub>33</sub> [GPa],C<sub>12</sub> [GPa],C<sub>13</sub> [GPa],C<sub>23</sub> [GPa],C<sub>44</sub> [GPa],C<sub>55</sub> [GPa],C<sub>66</sub> [GPa],G<sub>V</sub> [GPa],G<sub>R</sub> [GPa],G [GPa],B [GPa],E<sub>VRH</sub> [GPa],Poisson's ratio []
12.5,12.5,12.5,0,62.5,4.90,255.98,257.09,257.69,180.26,177.71,183.34,76.07,81.43,79.39,62.68,55.31,58.99,205.93,161.55,0.37
12.5,12.5,62.5,0,12.5,3.62,187.96,176.32,173.81,130.87,139.63,152.60,31.23,58.08,41.81,33.89,24.66,29.28,153.81,82.59,0.41
62.5,12.5,12.5,0,12.5,3.89,203.00,186.03,207.52,146.96,132.65,141.20,79.41,77.63,69.74,57.07,44.34,50.70,159.80,137.56,0.36
12.5,62.5,12.5,0,12.5,4.53,232.12,235.34,230.11,155.47,159.02,157.91,82.04,93.60,94.29,69.00,57.54,63.27,182.48,170.14,0.34
25,25,25,0,25,4.22,210.10,210.55,209.82,157.76,157.03,160.18,62.57,74.02,64.26,50.54,40.88,45.71,175.60,126.18,0.38
18.75,18.75,18.75,0,43.75,4.58,225.72,244.27,240.26,162.30,171.21,170.35,65.15,77.54,74.85,57.27,49.78,53.52,190.88,146.85,0.37
18.75,18.75,43.75,0,18.75,3.91,203.37,198.04,189.49,144.22,150.30,153.66,45.53,64.45,61.55,43.82,35.37,39.60,165.25,110.00,0.39
43.75,18.75,18.75,0,18.75,4.08,194.67,204.18,196.29,151.69,152.42,143.57,65.18,69.48,73.09,51.38,39.37,45.37,165.61,124.73,0.37
18.75,43.75,18.75,0,18.75,4.39,219.85,229.49,222.00,151.59,152.83,156.36,74.79,87.24,81.40,62.72,53.06,57.89,176.99,156.60,0.35
6.25,6.25,6.25,0,81.25,5.23,286.55,286.55,283.60,202.23,199.03,199.03,73.94,72.37,72.37,60.83,56.84,58.83,228.59,162.55,0.38
6.25,6.25,81.25,0,6.25,3.32,175.79,174.69,175.39,141.31,135.11,131.47,51.09,34.54,51.36,35.26,29.08,32.17,149.08,90.04,0.40
81.25,6.25,6.25,0,6.25,3.71,199.05,191.12,199.87,128.29,126.63,129.43,78.98,87.61,84.39,63.91,52.91,58.41,150.97,155.21,0.33
6.25,81.25,6.25,0,6.25,4.71,254.87,252.52,247.50,156.99,157.49,160.23,103.56,109.41,106.53,82.58,70.33,76.45,189.37,202.16,0.32
31.25,31.25,31.25,0,6.25,3.89,191.25,198.83,188.30,141.33,148.24,143.41,59.10,69.86,72.05,49.89,38.60,44.25,160.48,121.57,0.37
31.25,31.25,6.25,0,31.25,4.60,243.74,215.44,251.90,155.15,160.30,163.10,92.79,91.43,88.29,70.00,58.28,64.14,185.36,172.52,0.34
6.25,31.25,31.25,0,31.25,4.40,220.34,225.16,201.76,157.40,156.66,158.41,56.21,69.33,66.25,50.01,42.68,46.35,176.91,127.87,0.38
31.25,6.25,31.25,0,31.25,4.12,213.18,196.95,206.77,154.99,150.16,153.56,60.94,61.53,60.84,47.21,39.55,43.38,170.48,119.96,0.38
