Cu,Ni,Au,Pd,Pt,E<sub>Coh</sub> [eV/atom],C<sub>11</sub> [GPa],C<sub>22</sub> [GPa],C<sub>33</sub> [GPa],C<sub>12</sub> [GPa],C<sub>13</sub> [GPa],C<sub>23</sub> [GPa],C<sub>44</sub> [GPa],C<sub>55</sub> [GPa],C<sub>66</sub> [GPa],G<sub>V</sub> [GPa],G<sub>R</sub> [GPa],G [GPa],B [GPa],E<sub>VRH</sub> [GPa],Poisson's ratio []
18.75,18.75,18.75,18.75,25,4.24,218.10,210.19,224.07,156.71,156.17,155.47,72.88,68.07,74.20,55.30,46.53,50.91,176.56,139.35,0.37
18.75,18.75,18.75,18.75,25,4.25,207.25,224.93,217.99,156.18,160.09,155.74,73.77,72.78,82.00,57.59,46.29,51.94,177.13,141.94,0.37
18.75,18.75,18.75,18.75,25,4.26,229.43,210.43,224.97,150.98,156.55,154.54,69.54,74.68,76.45,57.65,49.81,53.73,176.55,146.34,0.36
18.75,18.75,18.75,25,18.75,4.13,204.78,206.59,218.02,155.06,152.50,148.31,74.17,66.43,70.74,53.84,44.20,49.02,171.23,134.25,0.37
18.75,18.75,18.75,25,18.75,4.14,217.62,205.78,206.44,150.67,147.49,151.00,68.40,80.53,73.81,56.59,46.48,51.53,169.80,140.40,0.36
18.75,18.75,18.75,25,18.75,4.15,215.30,211.91,197.79,147.41,151.94,152.87,62.60,75.07,75.23,54.10,43.97,49.04,169.94,134.20,0.37
18.75,18.75,18.75,18.75,25,4.25,207.17,219.83,212.48,157.60,159.78,146.21,67.89,62.40,83.39,54.46,43.91,49.19,174.07,134.86,0.37
18.75,18.75,25,18.75,18.75,4.09,210.37,196.88,207.26,151.22,145.00,147.14,67.81,71.42,66.62,52.58,43.50,48.04,166.81,131.49,0.37
18.75,18.75,25,18.75,18.75,4.08,209.76,193.36,200.04,147.87,146.46,159.65,61.39,76.47,60.02,49.52,37.78,43.65,167.90,120.51,0.38
25,18.75,25,18.75,12.5,3.96,199.93,196.51,200.67,145.32,147.46,141.46,62.32,66.25,67.68,50.11,41.73,45.92,162.85,125.92,0.37
25,18.75,18.75,18.75,18.75,4.14,207.96,213.57,212.05,149.86,153.35,147.15,72.05,72.53,80.59,57.25,47.15,52.20,170.48,142.09,0.36
25,18.75,18.75,18.75,18.75,4.12,212.95,206.33,212.67,151.68,146.58,152.64,76.04,75.24,65.49,55.43,46.03,50.73,170.42,138.44,0.36
18.75,25,18.75,18.75,18.75,4.20,212.43,210.15,198.73,150.11,150.60,152.84,62.80,72.90,66.90,51.70,42.78,47.24,169.82,129.69,0.37
18.75,25,18.75,18.75,18.75,4.19,204.74,221.17,206.60,155.11,155.74,148.48,72.82,68.07,79.32,55.59,44.62,50.11,172.35,137.04,0.37
18.75,25,18.75,18.75,18.75,4.18,208.71,220.94,211.96,155.01,157.14,145.66,77.84,69.78,82.55,58.29,46.96,52.63,173.02,143.34,0.36
6.25,75,6.25,6.25,6.25,4.63,242.63,240.55,249.11,157.29,155.37,155.87,97.12,103.72,100.73,77.90,66.27,72.08,185.48,191.45,0.33
6.25,75,6.25,6.25,6.25,4.63,240.96,240.79,251.14,158.58,154.94,152.84,103.31,99.05,102.70,78.78,66.85,72.81,185.07,193.12,0.33
6.25,75,6.25,6.25,6.25,4.62,233.90,243.57,238.81,156.77,157.08,155.66,92.16,100.74,100.49,75.13,62.93,69.03,183.92,184.06,0.33
75,6.25,6.25,6.25,6.25,3.74,180.78,181.14,191.51,145.52,130.61,131.77,81.56,77.59,78.56,57.24,39.43,48.34,152.14,131.12,0.36
75,6.25,6.25,6.25,6.25,3.74,193.68,178.68,185.95,139.54,123.13,141.94,81.16,80.11,59.41,54.38,39.05,46.72,151.95,127.12,0.36
75,6.25,6.25,6.25,6.25,3.73,180.45,182.55,189.57,145.14,133.35,128.90,78.83,72.56,80.60,56.08,39.25,47.66,151.93,129.45,0.36
6.25,6.25,75,6.25,6.25,3.39,169.32,170.06,172.01,141.67,138.75,135.45,42.02,28.96,34.49,27.46,23.21,25.34,149.24,71.94,0.42
6.25,6.25,75,6.25,6.25,3.39,171.24,166.50,175.20,138.57,133.91,137.04,40.01,28.45,31.93,26.97,23.78,25.38,148.00,72.02,0.42
6.25,6.25,75,6.25,6.25,3.39,169.90,169.38,164.57,133.90,142.45,144.33,29.73,38.24,33.93,25.92,20.23,23.08,149.47,65.85,0.43
6.25,6.25,6.25,75,6.25,3.90,202.65,201.03,201.93,148.81,150.32,152.13,69.00,72.41,72.53,53.08,41.67,47.38,167.57,129.89,0.37
6.25,6.25,6.25,75,6.25,3.90,202.95,201.14,203.40,150.54,147.39,152.89,70.88,74.94,71.14,53.84,42.19,48.01,167.68,131.49,0.37
6.25,6.25,6.25,75,6.25,3.90,205.68,204.09,201.19,146.56,152.73,149.79,71.03,74.33,75.69,55.00,43.33,49.16,167.68,134.36,0.37
6.25,6.25,6.25,6.25,75,5.12,281.15,285.63,277.57,194.24,199.08,197.58,73.87,76.25,71.30,61.18,56.69,58.93,225.13,162.61,0.38
6.25,6.25,6.25,6.25,75,5.12,280.73,284.17,282.75,193.58,195.01,202.23,75.43,78.38,73.55,62.59,57.82,60.21,225.48,165.86,0.38
6.25,6.25,6.25,6.25,75,5.12,278.15,282.09,280.37,196.64,200.50,195.78,71.12,74.56,75.03,60.65,55.95,58.30,225.16,161.01,0.38
