Cu,Ni,Au,Pd,Pt,E<sub>Coh</sub> [eV/atom],C<sub>11</sub> [GPa],C<sub>22</sub> [GPa],C<sub>33</sub> [GPa],C<sub>12</sub> [GPa],C<sub>13</sub> [GPa],C<sub>23</sub> [GPa],C<sub>44</sub> [GPa],C<sub>55</sub> [GPa],C<sub>66</sub> [GPa],G<sub>V</sub> [GPa],G<sub>R</sub> [GPa],G [GPa],B [GPa],E<sub>VRH</sub> [GPa],Poisson's ratio []
31.25,37.5,31.25,0,0,3.83,186.96,193.85,180.03,128.79,143.37,139.40,41.77,71.73,64.29,45.51,35.89,40.70,153.77,112.20,0.38
37.5,25,37.5,0,0,3.66,183.01,175.52,186.35,135.83,132.40,142.70,50.98,64.71,50.20,42.11,33.84,37.98,151.86,105.16,0.38
25,37.5,37.5,0,0,3.79,193.03,190.28,175.89,127.12,143.82,148.44,38.87,68.88,67.26,44.33,31.95,38.14,155.33,105.75,0.39
37.5,37.5,25,0,0,3.88,193.89,196.57,195.78,138.18,140.83,139.51,63.50,70.68,73.92,52.80,43.46,48.13,158.14,131.09,0.36
31.25,37.5,31.25,0,0,3.83,187.71,192.43,187.97,131.44,146.52,142.34,46.35,68.38,73.01,47.40,37.12,42.26,156.53,116.31,0.38
31.25,37.5,31.25,0,0,3.82,203.20,186.98,193.19,132.28,138.92,145.36,57.72,73.79,70.23,51.47,41.64,46.55,157.39,127.12,0.37
31.25,37.5,31.25,0,0,3.83,201.06,188.83,200.33,140.91,135.86,141.60,69.73,75.48,64.53,53.40,43.79,48.60,158.55,132.28,0.36
31.25,37.5,31.25,0,0,3.83,195.81,182.55,205.37,141.45,129.01,138.39,56.84,70.26,59.64,49.01,41.16,45.09,155.71,123.35,0.37
37.5,25,37.5,0,0,3.65,188.85,174.08,177.28,129.05,135.31,146.25,45.12,65.21,58.77,42.46,31.63,37.04,151.27,102.74,0.39
37.5,25,37.5,0,0,3.65,188.65,182.53,189.15,134.57,133.49,133.27,53.90,52.87,64.80,44.91,38.89,41.90,151.44,115.10,0.37
37.5,25,37.5,0,0,3.64,192.40,175.82,177.85,127.26,134.77,143.89,44.52,65.71,67.86,44.96,34.03,39.50,150.88,108.98,0.38
37.5,25,37.5,0,0,3.65,189.13,181.34,173.25,126.62,133.88,144.79,40.26,65.35,55.25,41.40,32.18,36.79,150.48,102.05,0.39
25,37.5,37.5,0,0,3.78,189.11,195.44,194.65,132.72,142.48,143.49,48.55,74.80,66.08,48.59,40.02,44.30,157.40,121.50,0.37
25,37.5,37.5,0,0,3.78,182.44,183.81,182.89,136.47,141.31,144.71,51.51,62.56,56.43,42.54,33.53,38.04,154.90,105.48,0.39
25,37.5,37.5,0,0,3.79,192.47,191.22,175.83,124.69,144.71,146.78,39.43,72.52,68.88,45.72,32.46,39.09,154.66,108.16,0.38
25,37.5,37.5,0,0,3.80,196.15,188.46,200.90,139.81,138.23,143.57,67.04,72.19,62.89,51.35,42.11,46.73,158.75,127.67,0.37
37.5,37.5,25,0,0,3.87,193.26,200.88,194.44,139.57,144.54,139.48,66.78,71.23,74.13,53.43,43.09,48.26,159.53,131.52,0.36
37.5,37.5,25,0,0,3.86,197.25,193.57,190.88,141.29,141.69,140.64,66.46,75.10,71.59,53.17,42.26,47.72,158.77,130.11,0.36
37.5,37.5,25,0,0,3.87,194.15,191.19,190.34,132.34,141.54,142.61,55.13,74.14,76.87,51.84,41.14,46.49,156.52,126.90,0.36
37.5,37.5,25,0,0,3.86,194.59,197.21,199.45,140.80,141.24,140.01,71.91,74.58,80.49,56.68,45.15,50.91,159.48,138.04,0.36
37.5,31.25,31.25,0,0,3.77,194.45,193.05,199.25,139.23,138.94,133.25,72.53,65.87,69.30,53.23,44.51,48.87,156.62,132.80,0.36
37.5,31.25,31.25,0,0,3.74,191.68,182.26,175.98,129.68,140.13,142.52,43.88,64.87,69.38,44.80,34.15,39.47,152.73,109.03,0.38
37.5,31.25,31.25,0,0,3.75,192.90,185.94,185.85,132.86,138.47,140.40,56.39,68.80,67.80,48.80,39.45,44.12,154.24,120.85,0.37
37.5,31.25,31.25,0,0,3.76,195.99,192.54,181.88,135.27,138.23,143.73,61.87,71.04,68.75,50.55,39.80,45.17,156.10,123.59,0.37
37.5,31.25,31.25,0,0,3.74,188.01,187.23,184.77,131.19,140.30,141.77,44.58,71.44,70.51,47.09,37.19,42.14,154.06,115.86,0.37
37.5,6.25,56.25,0,0,3.33,180.84,165.39,178.19,127.07,117.00,131.94,50.30,52.71,38.24,38.14,32.81,35.48,141.83,98.24,0.38
37.5,6.25,56.25,0,0,3.34,175.70,167.14,158.11,121.16,132.63,132.30,36.77,48.92,47.92,34.38,27.06,30.72,141.46,85.94,0.40
37.5,6.25,56.25,0,0,3.33,157.81,176.30,163.89,128.01,134.83,125.05,43.94,28.80,56.36,33.16,25.57,29.37,141.53,82.40,0.40
43.75,6.25,50,0,0,3.37,180.44,164.70,162.38,123.64,130.38,130.59,38.33,54.45,50.71,36.89,29.92,33.41,141.86,92.93,0.39
43.75,6.25,50,0,0,3.36,169.25,178.14,165.25,118.39,133.93,127.87,36.17,42.72,54.66,35.54,29.73,32.64,141.45,90.92,0.39
43.75,12.5,43.75,0,0,3.46,173.43,173.89,171.69,131.11,134.80,127.73,39.70,49.89,57.45,37.77,31.37,34.57,145.14,96.07,0.39
43.75,12.5,43.75,0,0,3.46,155.03,180.62,176.96,131.17,139.17,126.93,46.34,53.76,61.12,39.93,28.02,33.97,145.24,94.55,0.39
43.75,12.5,43.75,0,0,3.47,170.11,178.42,156.22,124.49,140.60,131.98,34.29,49.01,62.18,36.28,24.55,30.41,144.32,85.25,0.40
50,12.5,37.5,0,0,3.50,174.98,176.30,158.87,123.60,135.82,139.64,33.69,71.79,64.57,41.41,26.49,33.95,145.37,94.49,0.39
50,12.5,37.5,0,0,3.49,178.50,174.19,176.92,131.73,133.80,124.08,49.37,46.83,64.29,41.43,34.75,38.09,145.43,105.10,0.38
37.5,18.75,43.75,0,0,3.53,182.40,164.98,183.51,135.44,131.38,135.30,52.18,47.76,50.32,38.64,31.79,35.21,148.35,97.89,0.39
37.5,18.75,43.75,0,0,3.54,185.37,179.08,178.29,130.03,130.90,136.93,50.61,58.11,57.85,42.97,36.06,39.52,148.72,108.90,0.38
37.5,18.75,43.75,0,0,3.54,179.62,176.44,168.64,128.82,136.06,134.64,42.93,55.73,56.60,39.40,31.65,35.53,147.08,98.63,0.39
43.75,18.75,37.5,0,0,3.58,183.87,173.38,179.72,134.53,133.23,132.18,51.95,47.89,61.01,41.30,34.60,37.95,148.54,104.92,0.38
43.75,18.75,37.5,0,0,3.58,190.30,170.33,177.97,134.72,128.12,143.12,56.01,61.99,55.25,43.49,32.58,38.04,150.06,105.22,0.38
18.75,43.75,37.5,0,0,3.87,200.09,196.54,194.56,134.89,147.79,145.39,58.35,71.75,73.21,51.54,41.52,46.53,160.82,127.30,0.37
18.75,43.75,37.5,0,0,3.87,202.92,194.99,177.40,125.44,143.70,143.13,40.70,68.28,75.76,47.82,36.60,42.21,155.54,116.12,0.38
37.5,43.75,18.75,0,0,3.97,209.38,199.64,203.71,139.53,141.45,143.65,71.74,81.50,83.84,59.96,48.88,54.42,162.44,146.85,0.35
37.5,43.75,18.75,0,0,3.97,203.76,211.69,205.84,142.03,142.02,140.65,80.70,83.57,82.54,62.47,51.20,56.83,163.41,152.79,0.34
