Cu,Ni,Au,Pd,Pt,E<sub>Coh</sub> [eV/atom],C<sub>11</sub> [GPa],C<sub>22</sub> [GPa],C<sub>33</sub> [GPa],C<sub>12</sub> [GPa],C<sub>13</sub> [GPa],C<sub>23</sub> [GPa],C<sub>44</sub> [GPa],C<sub>55</sub> [GPa],C<sub>66</sub> [GPa],G<sub>V</sub> [GPa],G<sub>R</sub> [GPa],G [GPa],B [GPa],E<sub>VRH</sub> [GPa],Poisson's ratio []
31.25,37.5,0,31.25,0,4.09,206.70,208.82,211.02,144.77,140.88,144.24,87.60,88.42,84.74,65.26,52.26,58.76,165.15,157.59,0.34
31.25,37.5,0,31.25,0,4.09,211.42,211.66,201.87,134.94,145.10,144.40,77.90,89.04,90.33,64.82,51.93,58.37,163.76,156.52,0.34
31.25,37.5,0,31.25,0,4.09,214.75,209.57,204.69,139.42,143.33,147.03,78.89,87.71,86.14,63.83,51.73,57.78,165.40,155.26,0.34
31.25,37.5,0,31.25,0,4.09,202.33,211.20,207.72,148.21,145.19,139.62,86.94,82.29,83.56,63.11,49.89,56.50,165.26,152.16,0.35
31.25,37.5,0,31.25,0,4.10,206.83,215.45,212.74,141.60,144.97,139.32,86.41,89.36,86.70,66.44,54.30,60.37,165.20,161.45,0.34
37.5,25,0,37.5,0,3.96,198.53,205.24,198.70,138.87,146.42,138.79,78.09,80.73,84.06,60.47,47.45,53.96,161.18,145.62,0.35
37.5,25,0,37.5,0,3.96,201.31,197.35,203.10,146.20,133.42,140.11,84.51,83.03,75.71,60.78,47.84,54.31,160.14,146.38,0.35
37.5,25,0,37.5,0,3.95,200.90,201.87,199.80,142.61,141.41,139.05,81.99,83.46,81.55,61.37,48.37,54.87,160.97,147.81,0.35
37.5,25,0,37.5,0,3.95,203.15,205.03,194.92,136.47,141.85,142.44,74.39,86.97,82.71,60.97,48.22,54.60,160.51,147.11,0.35
37.5,25,0,37.5,0,3.96,196.72,203.06,199.24,140.15,145.77,138.39,78.57,80.12,83.82,60.15,46.89,53.52,160.85,144.53,0.35
