Cu,Ni,Au,Pd,Pt,E<sub>Coh</sub> [eV/atom],C<sub>11</sub> [GPa],C<sub>22</sub> [GPa],C<sub>33</sub> [GPa],C<sub>12</sub> [GPa],C<sub>13</sub> [GPa],C<sub>23</sub> [GPa],C<sub>44</sub> [GPa],C<sub>55</sub> [GPa],C<sub>66</sub> [GPa],G<sub>V</sub> [GPa],G<sub>R</sub> [GPa],G [GPa],B [GPa],E<sub>VRH</sub> [GPa],Poisson's ratio []
0,37.5,31.25,31.25,0,3.91,191.69,198.50,183.57,134.46,149.45,141.27,52.37,64.92,72.91,47.95,37.06,42.50,158.24,117.03,0.38
0,37.5,31.25,31.25,0,3.92,188.50,199.55,201.07,144.29,148.19,135.16,62.06,61.51,70.77,49.64,40.21,44.92,160.49,123.27,0.37
0,37.5,31.25,31.25,0,3.91,184.75,198.46,181.85,140.06,152.98,142.23,56.52,61.80,66.25,45.57,33.16,39.36,159.51,109.12,0.39
0,37.5,31.25,31.25,0,3.92,204.06,183.68,199.92,142.11,142.18,144.63,62.73,65.01,66.13,49.36,40.43,44.89,160.61,123.20,0.37
0,37.5,31.25,31.25,0,3.91,198.81,207.32,179.25,135.80,150.22,145.87,53.07,70.95,76.73,50.38,37.38,43.88,161.02,120.68,0.38
0,25,37.5,37.5,0,3.76,189.93,184.67,182.01,138.20,138.18,149.64,54.20,65.41,61.04,44.84,34.02,39.43,156.52,109.12,0.38
0,25,37.5,37.5,0,3.75,191.36,190.11,185.15,137.77,139.00,145.42,56.12,68.20,61.84,46.86,37.54,42.20,156.78,116.18,0.38
0,25,37.5,37.5,0,3.75,184.09,187.40,178.72,136.24,149.30,144.53,49.81,63.02,67.68,44.11,31.75,37.93,156.70,105.29,0.39
0,25,37.5,37.5,0,3.75,191.10,190.51,179.70,135.58,146.97,142.90,48.32,62.20,69.85,45.13,34.69,39.91,156.91,110.38,0.38
0,25,37.5,37.5,0,3.75,192.40,193.06,176.02,133.92,143.85,147.50,44.81,69.14,62.22,44.31,33.43,38.87,156.89,107.72,0.39
0,37.5,25,37.5,0,3.95,189.21,196.45,194.91,143.23,151.18,141.04,61.52,62.40,68.95,48.25,37.93,43.09,161.28,118.69,0.38
0,37.5,25,37.5,0,3.99,213.56,184.38,213.79,144.30,134.21,146.49,68.95,69.90,60.46,52.31,43.43,47.87,162.42,130.77,0.37
0,37.5,25,37.5,0,3.95,202.76,191.76,183.95,135.51,149.41,159.62,53.16,74.53,66.25,47.72,31.70,39.71,163.06,110.18,0.39
0,37.5,25,37.5,0,3.96,191.82,195.73,194.02,139.22,151.54,142.38,56.52,59.04,74.72,47.95,38.12,43.04,160.87,118.54,0.38
0,37.5,25,37.5,0,3.95,194.11,197.17,189.62,137.74,144.44,151.11,53.26,71.88,66.05,48.08,37.85,42.97,160.83,118.36,0.38
0,37.5,37.5,25,0,3.88,184.79,199.01,202.16,143.51,143.68,138.51,63.88,65.62,66.10,49.80,40.65,45.23,159.71,123.98,0.37
0,37.5,37.5,25,0,3.87,203.84,179.04,203.98,144.91,131.50,149.01,66.98,69.84,52.90,48.71,37.65,43.18,159.74,118.83,0.38
