Cu,Ni,Au,Pd,Pt,E<sub>Coh</sub> [eV/atom],C<sub>11</sub> [GPa],C<sub>22</sub> [GPa],C<sub>33</sub> [GPa],C<sub>12</sub> [GPa],C<sub>13</sub> [GPa],C<sub>23</sub> [GPa],C<sub>44</sub> [GPa],C<sub>55</sub> [GPa],C<sub>66</sub> [GPa],G<sub>V</sub> [GPa],G<sub>R</sub> [GPa],G [GPa],B [GPa],E<sub>VRH</sub> [GPa],Poisson's ratio []
37.5,0,31.25,31.25,0,3.52,184.23,163.31,182.18,135.27,121.39,143.04,63.63,69.62,33.58,42.03,28.64,35.34,147.68,98.18,0.39
37.5,0,31.25,31.25,0,3.52,176.54,180.41,175.91,132.64,134.75,132.83,60.64,49.07,63.24,43.43,34.84,39.14,148.14,107.91,0.38
37.5,0,31.25,31.25,0,3.53,180.20,184.41,179.08,133.62,137.75,126.13,64.79,52.60,68.30,46.89,37.47,42.18,148.74,115.61,0.37
37.5,0,31.25,31.25,0,3.52,173.48,185.16,179.46,133.12,135.01,131.39,63.37,59.30,68.58,47.49,37.02,42.25,148.57,115.78,0.37
37.5,0,31.25,31.25,0,3.53,178.07,179.17,187.19,137.38,138.83,122.21,73.40,51.15,67.74,48.19,36.78,42.49,149.03,116.40,0.37
25,0,37.5,37.5,0,3.51,177.13,170.19,173.95,131.69,141.61,139.49,50.00,60.49,59.63,41.26,29.94,35.60,149.65,98.95,0.39
25,0,37.5,37.5,0,3.52,188.78,176.55,189.68,138.62,130.58,131.78,66.81,60.68,58.91,47.55,38.90,43.22,150.77,118.36,0.37
25,0,37.5,37.5,0,3.50,185.33,183.93,176.91,133.02,134.75,132.94,57.87,59.79,59.53,45.14,37.40,41.27,149.73,113.39,0.37
25,0,37.5,37.5,0,3.51,180.18,176.81,182.96,136.85,133.94,134.81,61.41,62.51,59.55,45.65,35.99,40.82,150.13,112.28,0.38
25,0,37.5,37.5,0,3.50,179.91,171.22,177.94,136.15,134.54,137.60,55.10,60.54,56.34,42.45,32.69,37.57,149.52,103.99,0.38
37.5,0,25,37.5,0,3.57,198.62,170.69,198.62,137.53,121.37,136.48,73.03,71.45,56.69,51.74,40.23,45.98,150.97,125.24,0.36
37.5,0,25,37.5,0,3.56,169.82,185.95,191.76,138.59,134.27,127.72,66.88,58.07,66.86,48.16,37.06,42.61,149.85,116.77,0.37
37.5,0,25,37.5,0,3.58,177.94,179.62,180.60,136.87,135.16,135.98,60.75,65.33,63.82,46.66,35.78,41.22,150.46,113.31,0.37
37.5,0,25,37.5,0,3.56,169.28,181.14,178.62,138.91,138.19,133.97,61.87,60.60,64.65,45.29,32.71,39.00,150.13,107.68,0.38
37.5,0,25,37.5,0,3.56,179.49,179.70,174.32,134.55,135.79,136.01,58.54,66.00,61.01,45.59,34.87,40.23,149.58,110.76,0.38
37.5,0,37.5,25,0,3.46,164.18,179.95,176.76,132.91,135.50,127.00,46.00,42.85,49.65,36.06,30.03,33.05,145.75,92.17,0.39
37.5,0,37.5,25,0,3.47,183.15,190.76,162.50,111.91,140.49,135.94,40.15,61.85,71.21,44.51,29.81,37.16,145.90,102.75,0.38
37.5,0,37.5,25,0,3.46,162.78,175.18,159.82,129.98,142.32,129.97,39.77,41.01,49.30,32.38,22.72,27.55,144.70,77.72,0.41
37.5,0,37.5,25,0,3.47,171.73,168.75,161.68,126.49,133.86,139.76,39.31,52.34,50.38,35.21,25.68,30.44,144.71,85.35,0.40
37.5,0,37.5,25,0,3.48,160.59,188.01,179.19,133.94,142.21,118.80,50.33,41.41,62.64,39.73,27.90,33.82,146.41,94.19,0.39
31.25,0,37.5,31.25,0,3.49,184.80,160.72,170.68,134.24,128.52,145.87,52.43,67.07,44.08,39.89,24.81,32.35,148.16,90.46,0.40
31.25,0,37.5,31.25,0,3.49,184.15,179.94,185.95,127.07,132.28,134.08,55.64,61.57,59.35,45.75,39.03,42.39,148.55,116.13,0.37
31.25,0,37.5,31.25,0,3.48,181.65,183.70,179.13,128.99,130.91,132.21,58.64,57.43,64.63,46.30,38.77,42.54,147.63,116.43,0.37
31.25,0,37.5,31.25,0,3.50,176.83,184.27,176.75,137.10,129.64,132.84,60.36,53.98,46.05,41.30,34.73,38.01,148.56,105.08,0.38
31.25,0,37.5,31.25,0,3.48,174.65,181.50,179.95,133.98,138.04,124.06,61.81,47.50,63.63,43.92,34.93,39.43,147.58,108.61,0.38
6.25,0,37.5,56.25,0,3.53,184.65,180.20,183.02,140.86,139.37,141.81,61.00,67.86,62.48,46.66,34.99,40.82,154.66,112.57,0.38
6.25,0,37.5,56.25,0,3.54,185.02,183.90,180.82,137.66,141.02,143.25,61.38,66.20,64.52,46.94,35.25,41.10,154.84,113.27,0.38
6.25,0,37.5,56.25,0,3.54,183.48,184.69,184.39,140.69,141.72,138.19,60.54,65.03,69.05,47.72,36.34,42.03,154.86,115.63,0.38
